"","Gene_name","Description","log2FC_male-female","q-value"
"604","USP5","Ubiquitin carboxyl-terminal hydrolase 5",0.183172060572195,0.0232173797131176
"605","MRPS25","28S ribosomal protein S25, mitochondrial",0.182905617968352,0.28997301179965
"606","PGAM2","Phosphoglycerate mutase 2",0.182691133923718,0.285695727920306
"607","MFF","Mitochondrial fission factor",0.182650012586105,0.16312774985761
"608","UBE2A","Ubiquitin-conjugating enzyme E2 A",0.182635614082892,0.2187971363917
"609","IARS2","Isoleucine--tRNA ligase, mitochondrial",0.182285711434018,0.0947510558616424
"610","NIT1","Deaminated glutathione amidase",0.181860145939888,0.217501858555963
"611","ARL1","ADP-ribosylation factor-like protein 1",0.181719819511029,0.331966178147257
"612","EGLN1","Egl nine homolog 1",0.181577508215522,0.511793741991956
"613","ENG","Endoglin",0.181510098046273,0.531607626184283
"614","MLH3","DNA mismatch repair protein Mlh3",0.181319838366194,0.224068857921305
"615","SMU1","WD40 repeat-containing protein SMU1",0.181305093475432,0.26121183747843
"616","DYNC1LI2","Cytoplasmic dynein 1 light intermediate chain 2",0.181118135195991,0.277671308124249
"617","LNPEP","Leucyl-cystinyl aminopeptidase",0.180837576601705,0.36817756857899
"618","TDRD7","Tudor domain-containing protein 7",0.180810846421512,0.567732225151467
"619","NDUFV2","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",0.180145290764006,0.265478293533947
"620","IARS1","Isoleucine--tRNA ligase, cytoplasmic",0.180077060867134,0.128024530944565
"621","HBB","Hemoglobin subunit beta",0.179774179910879,0.451485625362237
"622","SPAG9","C-Jun-amino-terminal kinase-interacting protein 4",0.179689253146536,0.0585461045003807
"623","ECI2","Enoyl-CoA delta isomerase 2",0.179664086284442,0.419681799663932
"624","CLPP","ATP-dependent Clp protease proteolytic subunit, mitochondrial",0.17889837359677,0.179570850075091
"625","SH3BGRL3","SH3 domain-binding glutamic acid-rich-like protein 3",0.178898191968395,0.30646662988948
"626","RWDD1","RWD domain-containing protein 1",0.178801297881147,0.0668817752748705
"627","NDUFAF6","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",0.178776471004594,0.207457906471969
"628","LRRC20","Leucine-rich repeat-containing protein 20",0.178726613707433,0.203359054169245
"629","RAB10","Ras-related protein Rab-10",0.178021846635101,0.0462420875835474
"630","CAST","Calpastatin",0.177907106406389,0.213406568531415
"631","TAGLN2","Transgelin-2",0.177880132076801,0.160342383530435
"632","RPN2","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2",0.177792680414472,0.254891576020545
"633","RPS3A","40S ribosomal protein S3a",0.177651333110802,0.225367271068518
"634","UCHL1","Ubiquitin carboxyl-terminal hydrolase isozyme L1",0.177421152718802,0.369098783734234
"635","VPS37A","Vacuolar protein sorting-associated protein 37A",0.177141906575956,0.353275122086775
"636","RTN2","Reticulon-2",0.176999581803269,0.207457906471969
"637","NDUFB7","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7",0.17684235866162,0.371874196396685
"638","NDUFB8","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",0.176682854764238,0.253839236041009
"639","MYOT","Myotilin",0.176628646442257,0.268934031552386
"640","RPL11","60S ribosomal protein L11",0.176500722887891,0.290121452849382
"641","HSPB8","Heat shock protein beta-8",0.17638176846555,0.336844853829967
"642","LTN1","E3 ubiquitin-protein ligase listerin",0.176122211435386,0.374042872619324
"643","CCT2","T-complex protein 1 subunit beta",0.175773257858332,0.0462420875835474
"644","HDDC2","5'-deoxynucleotidase HDDC2",0.17541240820033,0.344369988489054
"645","USO1","General vesicular transport factor p115",0.174082428184652,0.0266509860762176
"646","ARF6","ADP-ribosylation factor 6",0.173741529362307,0.261516230990101
"647","EIF2S2","Eukaryotic translation initiation factor 2 subunit 2",0.172687019360819,0.19982926479557
"648","LGALS1","Galectin-1",0.172580871102895,0.305536440635145
"649","RPA1","Replication protein A 70 kDa DNA-binding subunit",0.172507766406335,0.129208723471623
"650","MAPKAPK3","MAP kinase-activated protein kinase 3",0.172449405796808,0.450485963951101
"651","MMAA","Methylmalonic aciduria type A protein, mitochondrial",0.172350571638471,0.396239374731844
"652","HNRNPUL2","Heterogeneous nuclear ribonucleoprotein U-like protein 2",0.172157703223016,0.102537787166251
"653","EHD2","EH domain-containing protein 2",0.171528844881083,0.253830515707326
"654","REEP5","Receptor expression-enhancing protein 5",0.171423554327516,0.16804997006903
"655","NME1","Nucleoside diphosphate kinase A",0.17136042127145,0.127890919188217
"656","HIBCH","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",0.170999462899024,0.292314032177381
"657","MRPS11","28S ribosomal protein S11, mitochondrial",0.170642084268607,0.465400065397096
"658","BCCIP","BRCA2 and CDKN1A-interacting protein",0.170254553720296,0.281414713895017
"659","RNF7","RING-box protein 2",0.170034216609304,0.446219131929745
"660","CLIP1","CAP-Gly domain-containing linker protein 1",0.169365107981982,0.0754987506575686
"661","RTN4IP1","Reticulon-4-interacting protein 1, mitochondrial",0.169219052023209,0.174661273269683
"662","NDUFS3","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",0.169019008713146,0.298813516552741
"663","TOM1","Target of Myb1 membrane trafficking protein",0.168352855730893,0.202896969076417
"664","FILIP1","Filamin-A-interacting protein 1",0.168277973199968,0.179334936018425
"665","ARHGDIB","Rho GDP-dissociation inhibitor 2",0.167980249158438,0.253830515707326
"666","PSMD4","26S proteasome non-ATPase regulatory subunit 4",0.167899668559205,0.101906739992275
"667","EPHX1","Epoxide hydrolase 1",0.167594968971787,0.38933124876351
"668","RPL23","60S ribosomal protein L23",0.167461356768628,0.337645616968928
"669","NUDT9","ADP-ribose pyrophosphatase, mitochondrial",0.167285813960628,0.178976471439093
"670","YARS2","Tyrosine--tRNA ligase, mitochondrial",0.167144626846472,0.273899039676315
"671","CHCHD10","Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",0.167109597143808,0.481200058935361
"672","EEF2","Elongation factor 2",0.167099693848947,0.0384193776862249
"673","FAM162A","Protein FAM162A",0.16703094413605,0.347690681200819
"674","GSR","Glutathione reductase, mitochondrial",0.16697635044183,0.111604335265016
"675","LRPPRC","Leucine-rich PPR motif-containing protein, mitochondrial",0.166920187212664,0.111604335265016
"676","MAVS","Mitochondrial antiviral-signaling protein",0.166807660123593,0.205960747564677
"677","MRPL30","39S ribosomal protein L30, mitochondrial",0.16674941153812,0.481167024126379
"678","RPL8","60S ribosomal protein L8",0.166677916426851,0.250084212364338
"679","CAVIN3","Caveolae-associated protein 3",0.166661209016686,0.584213532478676
"680","ARIH2","E3 ubiquitin-protein ligase ARIH2",0.166402400903868,0.290685837833267
"681","SYNPO","Synaptopodin",0.166330071703001,0.108068807126434
"682","SUCLG2","Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",0.166125054097119,0.408931065493527
"683","NDUFS1","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",0.165342980033532,0.313595515755855
"684","PYGL","Glycogen phosphorylase, liver form",0.16505845775754,0.401321690854232
"685","VPS29","Vacuolar protein sorting-associated protein 29",0.165024324509313,0.178306138659226
"686","ABHD11","Protein ABHD11",0.164958762178779,0.307410666547828
"687","PPP1R7","Protein phosphatase 1 regulatory subunit 7",0.164579825578613,0.0628123014657852
"688","AIFM1","Apoptosis-inducing factor 1, mitochondrial",0.164069921428402,0.123269017133117
"689","MCCC2","Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",0.163710647982635,0.347938890762905
"690","HSDL2","Hydroxysteroid dehydrogenase-like protein 2",0.163442412687445,0.401403948115554
"691","CS","Citrate synthase, mitochondrial",0.163072116125413,0.265489430880169
"692","HLA-DRB5","HLA class II histocompatibility antigen, DR beta 5 chain",0.163005584943921,0.503680493385579
"693","TIMM13","Mitochondrial import inner membrane translocase subunit Tim13",0.162348223163228,0.332465223551137
"694","ATP6V1A","V-type proton ATPase catalytic subunit A",0.1620876000078,0.0776353157833235
"695","CCT4","T-complex protein 1 subunit delta",0.161950183210543,0.122488729468982
"696","TUBA4A","Tubulin alpha-4A chain",0.16170203382914,0.0589180224411855
"697","HSPE1","10 kDa heat shock protein, mitochondrial",0.161593149626775,0.226317110664457
"698","AARSD1","Alanyl-tRNA editing protein Aarsd1",0.161368192517969,0.164506913630468
"699","PTPN23","Tyrosine-protein phosphatase non-receptor type 23",0.16117114100336,0.521264394114649
"700","PRKRA","Interferon-inducible double-stranded RNA-dependent protein kinase activator A",0.161084301541242,0.203359054169245
"701","MCAM","Cell surface glycoprotein MUC18",0.160963309264947,0.434946708145277
"702","TWF2","Twinfilin-2",0.160865751507671,0.120138320721563
"703","CA1","Carbonic anhydrase 1",0.160301019996353,0.520193364923672
"704","NDUFA10","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",0.160255039085929,0.265489430880169
"705","ACSS1","Acetyl-coenzyme A synthetase 2-like, mitochondrial",0.160176017466494,0.530240843114728
"706","FDPS","Farnesyl pyrophosphate synthase",0.160132443537169,0.118485700613648
"707","LANCL2","LanC-like protein 2",0.159927423141031,0.1473484384563
"708","AHNAK","Neuroblast differentiation-associated protein AHNAK",0.159676186494822,0.116735273824543
"709","LASP1","LIM and SH3 domain protein 1",0.159661165124483,0.261161558671333
"710","GLG1","Golgi apparatus protein 1",0.159552757477044,0.191882666114669
"711","NRDC","Nardilysin",0.159301786997547,0.166957016588445
"712","HSPB3","Heat shock protein beta-3",0.158979713856299,0.260096149143391
"713","SCRN2","Secernin-2",0.158809946187406,0.327891840464337
"714","DCTN2","Dynactin subunit 2",0.158580120394989,0.0424076678507758
"715","BCL2L13","Bcl-2-like protein 13",0.158578386893167,0.166957016588445
"716","TKFC","Triokinase/FMN cyclase",0.158411216884325,0.149839017102196
"717","LGALS3","Galectin-3",0.158355658716994,0.346927143873078
"718","PHPT1","14 kDa phosphohistidine phosphatase",0.158252249357908,0.0545355011569904
"719","EIF3D","Eukaryotic translation initiation factor 3 subunit D",0.158247379229831,0.137035194788299
"720","COQ3","Ubiquinone biosynthesis O-methyltransferase, mitochondrial",0.158079885049377,0.236054378492122
"721","MRPL44","39S ribosomal protein L44, mitochondrial",0.158038428075756,0.261161558671333
"722","FARSA","Phenylalanine--tRNA ligase alpha subunit",0.157577554601433,0.108068807126434
"723","IDH3A","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",0.157549268490945,0.191276991768406
"724","CAMK2D","Calcium/calmodulin-dependent protein kinase type II subunit delta",0.157539841988447,0.243225615395203
"725","BPGM","Bisphosphoglycerate mutase",0.157251486638399,0.484624248973566
"726","ENAH","Protein enabled homolog",0.157241410376265,0.559062024270807
"727","GSK3B","Glycogen synthase kinase-3 beta",0.156997453438782,0.452937874560399
"728","PGK2","Phosphoglycerate kinase 2",0.156968027965258,0.499730478463809
"729","TIMM10","Mitochondrial import inner membrane translocase subunit Tim10",0.156774405414136,0.332846170991004
"730","SCFD1","Sec1 family domain-containing protein 1",0.156660324680992,0.0855448408931306
"731","HSPA9","Stress-70 protein, mitochondrial",0.156653047562097,0.117185654960388
"732","QRSL1","Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",0.156533339688906,0.360435332261188
"733","PSMD3","26S proteasome non-ATPase regulatory subunit 3",0.15653294957203,0.0746150418466115
"734","RAC1","Ras-related C3 botulinum toxin substrate 1",0.156410748860161,0.117185654960388
"735","PCMT1","Protein-L-isoaspartate(D-aspartate) O-methyltransferase",0.156214300615968,0.195693780615749
"736","PFKM","ATP-dependent 6-phosphofructokinase, muscle type",0.15605507178357,0.466277940142492
"737","PRPF19","Pre-mRNA-processing factor 19",0.155959166520297,0.40028842954961
"738","PTMA","Prothymosin alpha",0.155674619065531,0.533393210100335
"739","SLC25A4","ADP/ATP translocase 1",0.155311096876677,0.345576387119268
"740","SNX21","Sorting nexin-21",0.155227473240528,0.380458154130845
"741","DDRGK1","DDRGK domain-containing protein 1",0.154560478295934,0.283107429642659
"742","HERC4","Probable E3 ubiquitin-protein ligase HERC4",0.154542444477507,0.329750462606377
"743","RNF114","E3 ubiquitin-protein ligase RNF114",0.154397816746352,0.342331414783479
"744","MAPRE3","Microtubule-associated protein RP/EB family member 3",0.154286077859563,0.335929946223968
"745","EIF3H","Eukaryotic translation initiation factor 3 subunit H",0.154218066892396,0.213288040075867
"746","GART","Trifunctional purine biosynthetic protein adenosine-3",0.154218010263468,0.196401057665961
"747","RPSA","40S ribosomal protein SA",0.154190204267357,0.117185654960388
"748","ELOB","Elongin-B",0.153833559068508,0.267927749895099
"749","NUCB1","Nucleobindin-1",0.153742265437984,0.200890461352689
"750","SIRT5","NAD-dependent protein deacylase sirtuin-5, mitochondrial",0.153650600740756,0.386408662644202
"751","CCDC22","Coiled-coil domain-containing protein 22",0.153536715017838,0.359851521057021
"752","SPARC","SPARC",0.15344140345727,0.269814266710373
"753","LAMTOR5","Ragulator complex protein LAMTOR5",0.153103972545699,0.290685837833267
"754","PXDN","Peroxidasin homolog",0.152684404469735,0.535598196835375
"755","IGFBP7","Insulin-like growth factor-binding protein 7",0.152657065533946,0.405150920051286
"756","PRELP","Prolargin",0.152427234862719,0.466277940142492
"757","MMGT1","ER membrane protein complex subunit 5",0.152296979713077,0.564077059106622
"758","GCDH","Glutaryl-CoA dehydrogenase, mitochondrial",0.152282669174138,0.290685837833267
"759","STARD10","START domain-containing protein 10",0.152265332244539,0.501908624128693
"760","RAB11B","Ras-related protein Rab-11B",0.152032386305757,0.119791389812563
"761","RNPEP","Aminopeptidase B",0.151802943517252,0.361053291061381
"762","GMPS","GMP synthase [glutamine-hydrolyzing]",0.151608232064389,0.401321690854232
"763","TLN1","Talin-1",0.151604068556464,0.107266151872491
"764","ALYREF","THO complex subunit 4",0.151537521456813,0.401403948115554
"765","IMMT","MICOS complex subunit MIC60",0.151371697521046,0.228587857990228
"766","CRYAB","Alpha-crystallin B chain",0.151236176881078,0.191882666114669
"767","PFDN6","Prefoldin subunit 6",0.151065173186634,0.104929858124492
"768","MTRF1L","Peptide chain release factor 1-like, mitochondrial",0.150849141077339,0.436097665890158
"769","PSMD2","26S proteasome non-ATPase regulatory subunit 2",0.150723000552729,0.0546485488500668
"770","MRPL47","39S ribosomal protein L47, mitochondrial",0.150564070180735,0.518382203541629
"771","PSPC1","Paraspeckle component 1",0.150499546133505,0.404338045966378
"772","NME2","Nucleoside diphosphate kinase B",0.15049152368838,0.116326785001625
"773","GYG1","Glycogenin-1",0.150219825855364,0.178976471439093
"774","ARMC10","Armadillo repeat-containing protein 10",0.149755602332716,0.481167024126379
"775","RHOA","Transforming protein RhoA",0.149512992234591,0.161899202380094
"776","PPIF","Peptidyl-prolyl cis-trans isomerase F, mitochondrial",0.14947376443877,0.359479167004618
"777","IPO7","Importin-7",0.14911147795484,0.267927749895099
"778","AKAP1","A-kinase anchor protein 1, mitochondrial",0.148933852684465,0.287012491666773
"779","KPNA6","Importin subunit alpha-7",0.148678882867555,0.387392693266083
"780","ERO1A","ERO1-like protein alpha",0.148617483060091,0.261161558671333
"781","MTOR","Serine/threonine-protein kinase mTOR",0.148481880649934,0.262479807187945
"782","LSS","Lanosterol synthase",0.148354370011207,0.465400065397096
"783","CALR","Calreticulin",0.148251761598132,0.168048060864401
"784","PDK2","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",0.14822070471331,0.439477885063292
"785","AFG3L2","AFG3-like protein 2",0.148192631108161,0.122801785279539
"786","TRAP1","Heat shock protein 75 kDa, mitochondrial",0.147409291550474,0.213288040075867
"787","NOL3","Nucleolar protein 3",0.147354854715589,0.265478293533947
"788","TYMP","Thymidine phosphorylase",0.147324846673477,0.392773539470435
"789","CALU","Calumenin",0.147228554509233,0.15539999851108
"790","IDI2","Isopentenyl-diphosphate delta-isomerase 2",0.147094953110837,0.592290404597245
"791","MCCC1","Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",0.147070019151586,0.40115417944649
"792","PFN1","Profilin-1",0.147038672757418,0.329647969754819
"793","ATPAF2","ATP synthase mitochondrial F1 complex assembly factor 2",0.147000760514141,0.360435332261188
"794","NIPSNAP3A","Protein NipSnap homolog 3A",0.146894570567348,0.274972424772241
"795","IAH1","Isoamyl acetate-hydrolyzing esterase 1 homolog",0.146595412655026,0.320551246923649
"796","GYS1","Glycogen [starch] synthase, muscle",0.146542180855173,0.102180602532097
"797","XRCC5","X-ray repair cross-complementing protein 5",0.146436314085593,0.236054378492122
"798","NDUFV3","NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",0.146374275014246,0.49155008523684
"799","MIX23","Protein MIX23",0.146244397842372,0.240540739109115
"800","FN1","Fibronectin",0.146232708026943,0.353275122086775
"801","EIF3M","Eukaryotic translation initiation factor 3 subunit M",0.146183797761816,0.220127550017698
"802","MYOZ2","Myozenin-2",0.145709245775679,0.635060736424837
"803","EEF1B2","Elongation factor 1-beta",0.145572227386856,0.185351830628396
"804","HMOX1","Heme oxygenase 1",0.145256077863822,0.420409661845672
"805","MSN","Moesin",0.145250883526103,0.0487953594945911
"806","ESYT1","Extended synaptotagmin-1",0.14521624827146,0.155134627232173
"807","AK1","Adenylate kinase isoenzyme 1",0.145089326843191,0.518700736361409
"808","BPHL","Valacyclovir hydrolase",0.145072028328789,0.333918185509534
"809","CD9","CD9 antigen",0.144559497387931,0.334514709507725
"810","AIMP2","Aminoacyl tRNA synthase complex-interacting multifunctional protein 2",0.144525440987193,0.253830515707326
"811","MYORG","Myogenesis-regulating glycosidase",0.144261058332606,0.436301037689732
"812","ADSL","Adenylosuccinate lyase",0.144014309203337,0.302236864985377
"813","COASY","Bifunctional coenzyme A synthase",0.143938252086652,0.182081785513411
"814","ACADVL","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",0.143508081341121,0.368164178773709
"815","MAP2K4","Dual specificity mitogen-activated protein kinase kinase 4",0.143504172619563,0.114446737847658
"816","HNRNPA3","Heterogeneous nuclear ribonucleoprotein A3",0.143283764030837,0.0873270592751028
"817","SYPL1","Synaptophysin-like protein 1",0.143264190954037,0.476891993829846
"818","TRIM54","Tripartite motif-containing protein 54",0.143062806030681,0.213406568531415
"819","SLC16A3","Monocarboxylate transporter 4",0.142950406813808,0.476652732173727
"820","TBC1D17","TBC1 domain family member 17",0.142829827352669,0.1473484384563
"821","MYOZ3","Myozenin-3",0.142626324940345,0.322032861888969
"822","METAP2","Methionine aminopeptidase 2",0.142515342113851,0.183536798795301
"823","LAMTOR3","Ragulator complex protein LAMTOR3",0.142397068149565,0.175767408419011
"824","DNAJB2","DnaJ homolog subfamily B member 2",0.142378201387704,0.326602263051812
"825","EIF5A","Eukaryotic translation initiation factor 5A-1",0.142148956340195,0.137021681174148
"826","PYGM","Glycogen phosphorylase, muscle form",0.142076025621449,0.452937874560399
"827","LDHD","Probable D-lactate dehydrogenase, mitochondrial",0.142065631009746,0.432438262356926
"828","NARS2","Probable asparagine--tRNA ligase, mitochondrial",0.141662956828981,0.507650895680724
"829","NACA","Nascent polypeptide-associated complex subunit alpha, muscle-specific form",0.141446676513317,0.315431514879308
"830","HNRNPDL","Heterogeneous nuclear ribonucleoprotein D-like",0.141380602910411,0.0582773624419255
"831","PHB1","Prohibitin 1",0.141101200033413,0.293885911151408
"832","OXR1","Oxidation resistance protein 1",0.140742433761586,0.393833302221806
"833","MT-CO2","Cytochrome c oxidase subunit 2",0.140434658988323,0.379211073349599
"834","PARK7","Parkinson disease protein 7",0.140341137494296,0.157967704878343
"835","RPL12","60S ribosomal protein L12",0.140141039722918,0.499897380077224
"836","H1-2","Histone H1.2",0.140077868311002,0.26121183747843
"837","ATP5F1C","ATP synthase subunit gamma, mitochondrial",0.139873243221615,0.373352840853773
"838","HBA2","Hemoglobin subunit alpha",0.139411172171037,0.403058013029169
"839","YBX1","Y-box-binding protein 1",0.138992329195304,0.593647068390441
"840","PHAX","Phosphorylated adapter RNA export protein",0.138764430454739,0.442516783564738
"841","KLHL31","Kelch-like protein 31",0.138668864612709,0.253761716378393
"842","CNDP2","Cytosolic non-specific dipeptidase",0.138419785938915,0.178306138659226
"843","RACK1","Receptor of activated protein C kinase 1",0.138360156510842,0.267547012906823
"844","MAP2K1","Dual specificity mitogen-activated protein kinase kinase 1",0.138266284040432,0.240711934055262
"845","EPB41L2","Band 4.1-like protein 2",0.138020031842855,0.428715810355913
"846","DUSP3","Dual specificity protein phosphatase 3",0.137973915951102,0.148458761673203
"847","PTMS","Parathymosin",0.137956795462966,0.390186308707573
"848","MECR","Enoyl-[acyl-carrier-protein] reductase, mitochondrial",0.137887095351287,0.265478293533947
"849","PKM","Pyruvate kinase PKM",0.137874743387524,0.432879977060638
"850","PURB","Transcriptional activator protein Pur-beta",0.137810053700864,0.253761716378393
"851","PERM1","PGC-1 and ERR-induced regulator in muscle protein 1",0.137677362605011,0.29593138577956
"852","CISD1","CDGSH iron-sulfur domain-containing protein 1",0.137336306851498,0.284319220980392
"853","NDUFA11","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11",0.13726999433452,0.45678829701829
"854","FBLN2","Fibulin-2",0.137237886691961,0.497223433483801
"855","PRPS1","Ribose-phosphate pyrophosphokinase 1",0.137078080453895,0.404252319944641
"856","DCTN4","Dynactin subunit 4",0.136938106601127,0.298860614751268
"857","LARP4","La-related protein 4",0.136878413973891,0.402354905971431
"858","ADK","Adenosine kinase",0.136639692483545,0.142403740134169
"859","HSBP1","Heat shock factor-binding protein 1",0.13601412902038,0.439942810655147
"860","LYPLA1","Acyl-protein thioesterase 1",0.135859539937243,0.253830515707326
"861","EIF4A2","Eukaryotic initiation factor 4A-II",0.135713184710664,0.16312774985761
"862","CSNK2A1","Casein kinase II subunit alpha",0.1356786915513,0.0912283351905054
"863","CYGB","Cytoglobin",0.135672247477222,0.375584020040775
"864","TXNDC17","Thioredoxin domain-containing protein 17",0.135661583650784,0.333918185509534
"865","COX17","Cytochrome c oxidase copper chaperone",0.135649301908641,0.43583019601351
"866","HLA-B","HLA class I histocompatibility antigen, B alpha chain",0.135231047409022,0.464785932402151
"867","WARS1","Tryptophan--tRNA ligase, cytoplasmic",0.13507747625636,0.262479807187945
"868","KMT2A","Histone-lysine N-methyltransferase 2A",0.134900033905444,0.58057122992721
"869","NT5DC1","5'-nucleotidase domain-containing protein 1",0.134886894688584,0.275460454405306
"870","LTA4H","Leukotriene A-4 hydrolase",0.134803203466582,0.15539999851108
"871","PDAP1","28 kDa heat- and acid-stable phosphoprotein",0.134729621889118,0.259979024596504
"872","RAD23B","UV excision repair protein RAD23 homolog B",0.134688135150059,0.235969903817642
"873","HCCS","Holocytochrome c-type synthase",0.13466426856688,0.332347022023509
"874","GBP2","Guanylate-binding protein 2",0.134258756735031,0.38933124876351
"875","DGLUCY","D-glutamate cyclase, mitochondrial",0.134131355343778,0.474145605014484
"876","ESD","S-formylglutathione hydrolase",0.133999094388582,0.164506913630468
"877","PSMD13","26S proteasome non-ATPase regulatory subunit 13",0.133593247591623,0.0507600992256925
"878","EARS2","Probable glutamate--tRNA ligase, mitochondrial",0.133333950802397,0.559089009710799
"879","ACYP2","Acylphosphatase-2",0.133291955935018,0.390186308707573
"880","BCO2","Carotenoid-cleaving dioxygenase, mitochondrial",0.133288467712678,0.474715000214149
"881","PDLIM3","PDZ and LIM domain protein 3",0.133235534298038,0.362375901667866
"882","SNX17","Sorting nexin-17",0.133026143096417,0.592290404597245
"883","NFU1","NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",0.132984406029918,0.361053291061381
"884","ABHD14B","Putative protein-lysine deacylase ABHD14B",0.132779418862793,0.353275122086775
"885","MACROD1","ADP-ribose glycohydrolase MACROD1",0.132760740176263,0.134869352790837
"886","ABCE1","ATP-binding cassette sub-family E member 1",0.132311880911047,0.249348479417146
"887","EHBP1L1","EH domain-binding protein 1-like protein 1",0.132292550524005,0.253761716378393
"888","ATP6V1D","V-type proton ATPase subunit D",0.132290541262886,0.521604007073304
"889","ATP5MF","ATP synthase subunit f, mitochondrial",0.132255125433161,0.434946708145277
"890","DYNLT3","Dynein light chain Tctex-type 3",0.13126094356762,0.466063711002229
"891","HSPA8","Heat shock cognate 71 kDa protein",0.131174296731981,0.0589180224411855
"892","RBMX","RNA-binding motif protein, X chromosome",0.130922137516604,0.404066021069232
"893","TUBG1","Tubulin gamma-1 chain",0.130547183632091,0.419695103498698
"894","ANP32A","Acidic leucine-rich nuclear phosphoprotein 32 family member A",0.130511040281871,0.458899988708894
"895","TUBA3C","Tubulin alpha-3C chain",0.13040517339547,0.385161693159324
"896","TMUB1","Transmembrane and ubiquitin-like domain-containing protein 1",0.130359083818828,0.489952857002676
"897","COQ9","Ubiquinone biosynthesis protein COQ9, mitochondrial",0.130355933224649,0.292314032177381
"898","NPEPL1","Probable aminopeptidase NPEPL1",0.130294520983094,0.175767408419011
"899","PGM2L1","Glucose 1,6-bisphosphate synthase",0.129909487083086,0.348985272433987
"900","MAP2K6","Dual specificity mitogen-activated protein kinase kinase 6",0.129803590015111,0.160724084875265
"901","NCKAP1","Nck-associated protein 1",0.129408903529788,0.394307887526301
"902","RMDN1","Regulator of microtubule dynamics protein 1",0.129301647704899,0.379211073349599
"903","MAGOH","Protein mago nashi homolog",0.129204888963534,0.337645616968928
"904","BCAP29","B-cell receptor-associated protein 29",0.128993706043868,0.491803298036631
"905","WDR43","WD repeat-containing protein 43",0.128989114536521,0.451728876196246
"906","PSMD9","26S proteasome non-ATPase regulatory subunit 9",0.128873474746502,0.347938890762905
"907","LDB3","LIM domain-binding protein 3",0.128399197349548,0.13889570879398
"908","LMAN2","Vesicular integral-membrane protein VIP36",0.12775101435132,0.302036984253865
"909","CPNE1","Copine-1",0.127634582845566,0.396302103463085
"910","SAR1A","GTP-binding protein SAR1a",0.127474709338323,0.216653305015504
"911","PSMD11","26S proteasome non-ATPase regulatory subunit 11",0.127436936754554,0.0529007486402664
"912","PMPCA","Mitochondrial-processing peptidase subunit alpha",0.127378159241303,0.223475900897082
"913","VPS35L","VPS35 endosomal protein-sorting factor-like",0.127350545844578,0.393000402467752
"914","YKT6","Synaptobrevin homolog YKT6",0.127236640148162,0.507650895680724
"915","TGFB1I1","Transforming growth factor beta-1-induced transcript 1 protein",0.127180226938561,0.45236970241693
"916","NCL","Nucleolin",0.126756264379305,0.239200887637091
"917","EIF2B5","Translation initiation factor eIF-2B subunit epsilon",0.126629655282713,0.288917959107521
"918","HNRNPM","Heterogeneous nuclear ribonucleoprotein M",0.126522654792259,0.202896969076417
"919","POFUT1","GDP-fucose protein O-fucosyltransferase 1",0.126338885295718,0.41533919941508
"920","DNAJA3","DnaJ homolog subfamily A member 3, mitochondrial",0.12602456763751,0.399414697125128
"921","S100A4","Protein S100-A4",0.125833287227085,0.408931065493527
"922","DCTN1","Dynactin subunit 1",0.12565039745464,0.101185663663328
"923","PPM1B","Protein phosphatase 1B",0.125630291158236,0.355749321021423
"924","ATPAF1","ATP synthase mitochondrial F1 complex assembly factor 1",0.125411611718301,0.419101352236636
"925","VDAC1","Voltage-dependent anion-selective channel protein 1",0.125127999091621,0.333918185509534
"926","KLC1","Kinesin light chain 1",0.12505241557608,0.250722682817811
"927","UGDH","UDP-glucose 6-dehydrogenase",0.125019318728054,0.434946708145277
"928","ACADSB","Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",0.124928695212516,0.466277940142492
"929","SLMAP","Sarcolemmal membrane-associated protein",0.124819647631263,0.300623880302608
"930","HNRNPU","Heterogeneous nuclear ribonucleoprotein U",0.124802050223595,0.237227326731938
"931","EPB42","Protein 4.2",0.124644614562982,0.592606903804535
"932","MRPL15","39S ribosomal protein L15, mitochondrial",0.12412111108336,0.45678829701829
