"","Gene_name","Description","log2FC_post-pre","q-value"
"685","PCCB","Propionyl-CoA carboxylase beta chain, mitochondrial",0.104605861865702,0.171860387839164
"686","GCC2","GRIP and coiled-coil domain-containing protein 2",0.104362560554346,0.542280469046994
"687","ATP6V1D","V-type proton ATPase subunit D",0.104300671672734,0.386617109698467
"688","FAHD1","Acylpyruvase FAHD1, mitochondrial",0.104299759500726,0.0653731202015203
"689","HMGCL","Hydroxymethylglutaryl-CoA lyase, mitochondrial",0.104143380709726,0.122513731160222
"690","PHB1","Prohibitin 1",0.104080662060021,0.17233988064021
"691","NT5DC1","5'-nucleotidase domain-containing protein 1",0.104058167562174,0.113153224119144
"692","EEF1D","Elongation factor 1-delta",0.103972815831408,0.0398963142042055
"693","YWHAB","14-3-3 protein beta/alpha",0.103914191359468,0.0567140154240457
"694","GET3","ATPase GET3",0.103896560525332,0.0120618615493101
"695","SERPINB3","Serpin B3",0.103498669002015,0.472702635030114
"696","NOL3","Nucleolar protein 3",0.103132074159111,0.156919583176285
"697","NIPSNAP3B","Protein NipSnap homolog 3B",0.103075744723236,0.376621040186641
"698","PPM1F","Protein phosphatase 1F",0.102998049774095,0.310367281354038
"699","HBS1L","HBS1-like protein",0.102790544287126,0.39682727620023
"700","PABPC4","Polyadenylate-binding protein 4",0.102623148100699,0.0684892149210482
"701","MAST4","Microtubule-associated serine/threonine-protein kinase 4",0.10241917311253,0.459003769103627
"702","HSDL2","Hydroxysteroid dehydrogenase-like protein 2",0.102390864280149,0.3291634012354
"703","MRPL12","39S ribosomal protein L12, mitochondrial",0.102346313807653,0.160012907131645
"704","CFL1","Cofilin-1",0.101894347541448,0.116300674082343
"705","MSRA","Mitochondrial peptide methionine sulfoxide reductase",0.101855226850748,0.338814570179621
"706","CKMT2","Creatine kinase S-type, mitochondrial",0.101752925118873,0.278372073026971
"707","CLUH","Clustered mitochondria protein homolog",0.101613497759981,0.0381485512810019
"708","TACO1","Translational activator of cytochrome c oxidase 1",0.101420690746478,0.221816328954483
"709","DDAH1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",0.1013670442918,0.367870730004115
"710","FUBP1","Far upstream element-binding protein 1",0.101099574239143,0.150030302190474
"711","PHYKPL","5-phosphohydroxy-L-lysine phospho-lyase",0.101041884592776,0.181941559460399
"712","NEXN","Nexilin",0.100991073181858,0.185357306134438
"713","RPS15A","40S ribosomal protein S15a",0.100798017215503,0.162741968123506
"714","CD93","Complement component C1q receptor",0.100793851766758,0.404263893789289
"715","ALDH7A1","Alpha-aminoadipic semialdehyde dehydrogenase",0.100710430159245,0.283775020470684
"716","SVIL","Supervillin",0.100678300675503,0.0729996230405973
"717","DDOST","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit",0.100397472553897,0.19050246372885
"718","PDIA6","Protein disulfide-isomerase A6",0.100357140363451,0.0620863191941822
"719","ENDOD1","Endonuclease domain-containing 1 protein",0.100294671945075,0.0589605818570708
"720","C8A","Complement component C8 alpha chain",0.100192587283289,0.496750018229411
"721","DDX1","ATP-dependent RNA helicase DDX1",0.100173156845914,0.00858612675352325
"722","PPP1R14B","Protein phosphatase 1 regulatory subunit 14B",0.0999856385364293,0.305646042133189
"723","DBN1","Drebrin",0.099826515192623,0.449387164140216
"724","SSBP1","Single-stranded DNA-binding protein, mitochondrial",0.0997393673581453,0.142599330355633
"725","PDCD5","Programmed cell death protein 5",0.0997117286745635,0.075367558043954
"726","FBLN2","Fibulin-2",0.0996819468385617,0.360677724739303
"727","UBR3","E3 ubiquitin-protein ligase UBR3",0.0994096845771999,0.160160578188034
"728","RPL24","60S ribosomal protein L24",0.0994058435758625,0.285375972416644
"729","RETREG1","Reticulophagy regulator 1",0.0993605478443378,0.283775020470684
"730","WASHC2A","WASH complex subunit 2A",0.0991470816226308,0.218304349962609
"731","PAM16","Mitochondrial import inner membrane translocase subunit TIM16",0.099131037556333,0.150432830746677
"732","COL15A1","Collagen alpha-1(XV) chain",0.098946420628728,0.0633172401546485
"733","SYNGR1","Synaptogyrin-1",0.0985380995896339,0.412716840097522
"734","RTCB","RNA-splicing ligase RtcB homolog",0.0985274374348695,0.00348576060466849
"735","NID2","Nidogen-2",0.0982610280674976,0.0356470760311179
"736","FBXO40","F-box only protein 40",0.0981932851969756,0.386720724935273
"737","HNRNPA1","Heterogeneous nuclear ribonucleoprotein A1",0.098139079948643,0.0806838357345924
"738","BAG6","Large proline-rich protein BAG6",0.0980948895015619,0.0969243982648816
"739","GUSB","Beta-glucuronidase",0.0979569270114578,0.229981266433884
"740","OTUD4","OTU domain-containing protein 4",0.0978132835520178,0.336127633549762
"741","SCRN2","Secernin-2",0.0976866644305954,0.252244513412656
"742","MAP2K3","Dual specificity mitogen-activated protein kinase kinase 3",0.0972664622401727,0.087879385912723
"743","SNAP29","Synaptosomal-associated protein 29",0.0972259060738985,0.264585059131179
"744","CPT1B","Carnitine O-palmitoyltransferase 1, muscle isoform",0.0971461089070633,0.367471793491293
"745","RABEP1","Rab GTPase-binding effector protein 1",0.0965972151611929,0.253864172642253
"746","NARS1","Asparagine--tRNA ligase, cytoplasmic",0.0964874475245789,0.0466879907841045
"747","IGHV4-61","Immunoglobulin heavy variable 4-61",0.0961656708087748,0.458645306250124
"748","ERP44","Endoplasmic reticulum resident protein 44",0.0959502683494122,0.0979062405857476
"749","HSPA12A","Heat shock 70 kDa protein 12A",0.0957885886861476,0.152748244442894
"750","MRPL48","39S ribosomal protein L48, mitochondrial",0.0954299033034101,0.307289464924917
"751","RPL10A","60S ribosomal protein L10a",0.0953609270655313,0.193189398017863
"752","IGKV4-1","Immunoglobulin kappa variable 4-1",0.0953604463341335,0.461631944554989
"753","ACTN1","Alpha-actinin-1",0.0953422479757933,0.0907991744539453
"754","UGDH","UDP-glucose 6-dehydrogenase",0.0953212304787954,0.254173880274154
"755","MRPS11","28S ribosomal protein S11, mitochondrial",0.0949996536246029,0.375927255436003
"756","FIS1","Mitochondrial fission 1 protein",0.0947255834284615,0.212756040480055
"757","PDAP1","28 kDa heat- and acid-stable phosphoprotein",0.0945493041947394,0.170001485737769
"758","MLIP","Muscular LMNA-interacting protein",0.0945037610173163,0.105607837644667
"759","HARS1","Histidine--tRNA ligase, cytoplasmic",0.0943311476143354,0.0307352323235323
"760","AS3MT","Arsenite methyltransferase",0.0942724569503479,0.195737999112987
"761","ATP2B1","Plasma membrane calcium-transporting ATPase 1",0.0941379603659662,0.223106975048931
"762","VWA8","von Willebrand factor A domain-containing protein 8",0.0940636067375973,0.288727553707391
"763","LMAN2","Vesicular integral-membrane protein VIP36",0.093836571922898,0.151474649189394
"764","UBE2V1","Ubiquitin-conjugating enzyme E2 variant 1",0.0937487504817689,0.41523376665762
"765","DCTN2","Dynactin subunit 2",0.0935046628832197,0.0267664134784751
"766","MRPL44","39S ribosomal protein L44, mitochondrial",0.0934922003949321,0.199549686708548
"767","ACAA2","3-ketoacyl-CoA thiolase, mitochondrial",0.0934337804048173,0.387566296863986
"768","RPL22","60S ribosomal protein L22",0.0933741271000557,0.176902801495783
"769","HLA-A","HLA class I histocompatibility antigen, A alpha chain",0.0933570775638035,0.24420748462023
"770","RPS27A","Ubiquitin-40S ribosomal protein S27a",0.0933152168317903,0.0838844074853384
"771","GARS1","Glycine--tRNA ligase",0.0932080348236273,0.0202031351775118
"772","CBR4","3-oxoacyl-[acyl-carrier-protein] reductase",0.0931826940807223,0.268234307792453
"773","MDH2","Malate dehydrogenase, mitochondrial",0.0929995190120749,0.164931093561924
"774","PTRHD1","Putative peptidyl-tRNA hydrolase PTRHD1",0.09238272514553,0.199549686708548
"775","EEF1G","Elongation factor 1-gamma",0.0922014243247151,0.0454257559490851
"776","ANXA4","Annexin A4",0.0918104731928508,0.130937098514155
"777","PPP2R2A","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform",0.0916548798839631,0.107145665230521
"778","TAF15","TATA-binding protein-associated factor 2N",0.0916166752308314,0.254190646248151
"779","IPO7","Importin-7",0.0911586399078583,0.186421198375451
"780","DDAH2","N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",0.0911319161085338,0.34303953795164
"781","ACO2","Aconitate hydratase, mitochondrial",0.0907114073219191,0.280951594461398
"782","TBCA","Tubulin-specific chaperone A",0.0906694377824806,0.109553384262897
"783","CYRIB","CYFIP-related Rac1 interactor B",0.0906693301683745,0.175544682382793
"784","SLMAP","Sarcolemmal membrane-associated protein",0.0905495260694025,0.145371518867468
"785","FSD2","Fibronectin type III and SPRY domain-containing protein 2",0.0903181154669213,0.159097397498181
"786","KPNA3","Importin subunit alpha-4",0.0902295759836953,0.163241570944579
"787","HYCC1","Hyccin",0.0898023376170958,0.325395148539314
"788","PPP1R3A","Protein phosphatase 1 regulatory subunit 3A",0.0896354261052039,0.26968833899489
"789","MAVS","Mitochondrial antiviral-signaling protein",0.0894920019503704,0.241851247029466
"790","PHKA1","Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",0.089340552387819,0.382954273990466
"791","LONP1","Lon protease homolog, mitochondrial",0.0892290430530114,0.0557452505821435
"792","ILKAP","Integrin-linked kinase-associated serine/threonine phosphatase 2C",0.0891538185449807,0.252856869834845
"793","UBE2A","Ubiquitin-conjugating enzyme E2 A",0.0891111743799708,0.246763525538321
"794","RPS11","40S ribosomal protein S11",0.088434776831642,0.277062290281117
"795","ANP32A","Acidic leucine-rich nuclear phosphoprotein 32 family member A",0.0882682519474347,0.349810849948763
"796","MYL9","Myosin regulatory light polypeptide 9",0.0878907586771636,0.355240064974831
"797","TKT","Transketolase",0.0878467474838924,0.254190646248151
"798","PPA2","Inorganic pyrophosphatase 2, mitochondrial",0.0878046445301024,0.283775020470684
"799","PACSIN3","Protein kinase C and casein kinase substrate in neurons protein 3",0.0876127619847527,0.348456996150665
"800","S100A1","Protein S100-A1",0.0875738003585909,0.279103361415108
"801","CAP1","Adenylyl cyclase-associated protein 1",0.0874217605712708,0.172765670421191
"802","CAVIN3","Caveolae-associated protein 3",0.0871775938698942,0.492598059659108
"803","FAM136A","Protein FAM136A",0.0870807044842667,0.243804638901883
"804","RPL17","60S ribosomal protein L17",0.0870318830436929,0.407419041132695
"805","TMED2","Transmembrane emp24 domain-containing protein 2",0.0869503285815281,0.4038625659015
"806","FKBP4","Peptidyl-prolyl cis-trans isomerase FKBP4",0.0868004663187438,0.150030302190474
"807","MSI2","RNA-binding protein Musashi homolog 2",0.0866882643223796,0.154404642676905
"808","NCKAP1","Nck-associated protein 1",0.0864227774626318,0.280951594461398
"809","PRKCSH","Glucosidase 2 subunit beta",0.0863703866509322,0.0788764167674973
"810","SARS2","Serine--tRNA ligase, mitochondrial",0.0863444721941384,0.111842821779595
"811","PPP2CB","Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform",0.0860155584784135,0.0972042304406909
"812","GNAI2","Guanine nucleotide-binding protein G(i) subunit alpha-2",0.0859794634332065,0.0812440848135658
"813","STARD10","START domain-containing protein 10",0.0859246631558328,0.454299815847304
"814","CLIC5","Chloride intracellular channel protein 5",0.0856668748306415,0.116311122687653
"815","CDC34","Ubiquitin-conjugating enzyme E2 R1",0.0856115212210913,0.295648889226794
"816","NDUFA7","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7",0.0854699667422878,0.347253378891036
"817","DDB1","DNA damage-binding protein 1",0.0854464676546218,0.0430234126863298
"818","VPS29","Vacuolar protein sorting-associated protein 29",0.0853676765084792,0.177753420821691
"819","MRPS27","28S ribosomal protein S27, mitochondrial",0.0851894582625885,0.279684317867942
"820","AIMP1","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1",0.0850000137605615,0.0250512656995786
"821","PSMD7","26S proteasome non-ATPase regulatory subunit 7",0.0849768774179207,0.152469123005858
"822","RDH14","Retinol dehydrogenase 14",0.0849759488828354,0.273790977684473
"823","PPP1R7","Protein phosphatase 1 regulatory subunit 7",0.0847038348646549,0.056467467432838
"824","COMMD3","COMM domain-containing protein 3",0.0845468645927898,0.186147031846362
"825","KPNB1","Importin subunit beta-1",0.084444144519324,0.0710747605878221
"826","SARNP","SAP domain-containing ribonucleoprotein",0.0844422528098399,0.310367281354038
"827","F13A1","Coagulation factor XIII A chain",0.084330768859509,0.289164232431306
"828","NCK2","Cytoplasmic protein NCK2",0.0842733890989855,0.363711385685765
"829","SKIC2","SKI2 subunit of superkiller complex protein",0.0842021134314468,0.506885788462949
"830","PEA15","Astrocytic phosphoprotein PEA-15",0.0837833471610416,0.208146663696067
"831","KLC1","Kinesin light chain 1",0.0837732053713829,0.179678485032375
"832","MECR","Enoyl-[acyl-carrier-protein] reductase, mitochondrial",0.0835548973211182,0.214487827046587
"833","CHD2","Chromodomain-helicase-DNA-binding protein 2",0.0832061440736691,0.55178083747735
"834","MYORG","Myogenesis-regulating glycosidase",0.083042702217714,0.376621040186641
"835","OSBPL1A","Oxysterol-binding protein-related protein 1",0.0830372367563932,0.226198774151107
"836","CAPZA1","F-actin-capping protein subunit alpha-1",0.0829811245156549,0.24420748462023
"837","MT-CO1","Cytochrome c oxidase subunit 1",0.0828915754539601,0.435153643915601
"838","MRPL46","39S ribosomal protein L46, mitochondrial",0.0828070331667341,0.269834048263294
"839","SCFD1","Sec1 family domain-containing protein 1",0.0823788814151918,0.0975700688412984
"840","SULT1A3","Sulfotransferase 1A3",0.0821372776117038,0.384595399241936
"841","HEXB","Beta-hexosaminidase subunit beta",0.0819755754053446,0.363473615893206
"842","RUSF1","RUS family member 1",0.0817773531967134,0.457792921013269
"843","MAPRE1","Microtubule-associated protein RP/EB family member 1",0.0817681205671423,0.160516035455372
"844","SNTA1","Alpha-1-syntrophin",0.0817360744135254,0.159972161125729
"845","LYPLAL1","Lysophospholipase-like protein 1",0.0812361601118141,0.208382804586672
"846","FMC1","Protein FMC1 homolog",0.0812208984143297,0.399289796639408
"847","PTPN11","Tyrosine-protein phosphatase non-receptor type 11",0.0812182137836679,0.087879385912723
"848","LACTB2","Endoribonuclease LACTB2",0.0810964420621865,0.262213282662264
"849","HNRNPUL2","Heterogeneous nuclear ribonucleoprotein U-like protein 2",0.0810002194242951,0.159644821114373
"850","SF3B1","Splicing factor 3B subunit 1",0.0809407591086551,0.194544956403934
"851","CTSA","Lysosomal protective protein",0.0808866749658161,0.449026711408567
"852","NAP1L1","Nucleosome assembly protein 1-like 1",0.080740515380743,0.199748704103262
"853","JPT1","Jupiter microtubule associated homolog 1",0.080736497812044,0.349810849948763
"854","MRPL45","39S ribosomal protein L45, mitochondrial",0.0806809311262846,0.30453900737663
"855","CDC37","Hsp90 co-chaperone Cdc37",0.0806147061187374,0.303269207464451
"856","ACTR2","Actin-related protein 2",0.0804891634462024,0.243804638901883
"857","SF3A1","Splicing factor 3A subunit 1",0.0804707958573729,0.360272660047584
"858","TIMM8A","Mitochondrial import inner membrane translocase subunit Tim8 A",0.0804641750523345,0.347358768454663
"859","COX7A1","Cytochrome c oxidase subunit 7A1, mitochondrial",0.0803906703856789,0.369733191394887
"860","NOS1","Nitric oxide synthase, brain",0.0803489090509082,0.116458210982662
"861","ACADSB","Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",0.0802120352771336,0.352519935967287
"862","C6orf136","Uncharacterized protein C6orf136",0.0801960611114279,0.414410069833758
"863","COL18A1","Collagen alpha-1(XVIII) chain",0.0801938791005465,0.333182940433434
"864","MYH9","Myosin-9",0.0801354131840402,0.144432476001318
"865","HSD17B12","Very-long-chain 3-oxoacyl-CoA reductase",0.0800535540356275,0.25021789729372
"866","UGP2","UTP--glucose-1-phosphate uridylyltransferase",0.0798574331052997,0.0768858831525581
"867","SYNPO","Synaptopodin",0.0798437398993617,0.136952698827096
"868","RUVBL1","RuvB-like 1",0.0797916971120038,0.118889830186259
"869","HTD2","Hydroxyacyl-thioester dehydratase type 2, mitochondrial",0.0797382183989264,0.479736265850297
"870","EEA1","Early endosome antigen 1",0.0794608337164444,0.100220651335435
"871","PARVB","Beta-parvin",0.0790482331494164,0.323046863424498
"872","SMYD2","N-lysine methyltransferase SMYD2",0.0790252977443355,0.191531792123061
"873","ATAD3A","ATPase family AAA domain-containing protein 3A",0.0789875799490449,0.162591801785601
"874","CMC2","COX assembly mitochondrial protein 2 homolog",0.0789364500778049,0.38454019945913
"875","CRYAB","Alpha-crystallin B chain",0.078644145066356,0.173892155840608
"876","HSPA12B","Heat shock 70 kDa protein 12B",0.0786392876920665,0.370861274903013
"877","DCTN1","Dynactin subunit 1",0.0785813148302648,0.0628259874737227
"878","PRKAA2","5'-AMP-activated protein kinase catalytic subunit alpha-2",0.0784589263276825,0.0422904850515556
"879","PRKAG1","5'-AMP-activated protein kinase subunit gamma-1",0.078395083215117,0.172765670421191
"880","TNKS1BP1","182 kDa tankyrase-1-binding protein",0.0783864197292008,0.484130571166349
"881","NEK9","Serine/threonine-protein kinase Nek9",0.0783082302271438,0.333115916187152
"882","GRSF1","G-rich sequence factor 1",0.0781920818437047,0.173017057185711
"883","MICOS10","MICOS complex subunit MIC10",0.0778539057265757,0.41523376665762
"884","PDIA4","Protein disulfide-isomerase A4",0.0777628037412121,0.385861854855961
"885","FLNA","Filamin-A",0.0776689754262794,0.157567293736431
"886","SUCLA2","Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",0.0775969632153632,0.278622616396887
"887","CORO1B","Coronin-1B",0.0774495402244302,0.282785901538853
"888","RAB14","Ras-related protein Rab-14",0.0773546420337219,0.1040182475311
"889","UBE2G2","Ubiquitin-conjugating enzyme E2 G2",0.0769468328117711,0.267999804556483
"890","YARS1","Tyrosine--tRNA ligase, cytoplasmic",0.0768974229743069,0.224901723661499
"891","ATOX1","Copper transport protein ATOX1",0.0768909217466849,0.227392512025099
"892","CALM1","Calmodulin-1",0.0766520770762344,0.3055823472821
"893","FKBP9","Peptidyl-prolyl cis-trans isomerase FKBP9",0.0766423559860296,0.461555842188119
"894","EHD4","EH domain-containing protein 4",0.0764923100648929,0.265820535243014
"895","ESYT1","Extended synaptotagmin-1",0.0763704531745315,0.189300100919592
"896","LAMTOR3","Ragulator complex protein LAMTOR3",0.0763570472443877,0.212756040480055
"897","SEC23A","Protein transport protein Sec23A",0.0762437340593625,0.243743491481679
"898","RDH13","Retinol dehydrogenase 13",0.0761312918869752,0.321499851727159
"899","PHKB","Phosphorylase b kinase regulatory subunit beta",0.0760700750090795,0.442314125884021
"900","ATP5F1A","ATP synthase subunit alpha, mitochondrial",0.0760080076823861,0.352441060951911
"901","TNPO1","Transportin-1",0.0759693522576015,0.220817420878939
"902","PAFAH1B2","Platelet-activating factor acetylhydrolase IB subunit alpha2",0.0756846650675556,0.267224896140139
"903","CNP","2',3'-cyclic-nucleotide 3'-phosphodiesterase",0.0755309305057938,0.303269207464451
"904","GMPR2","GMP reductase 2",0.0754844667197165,0.387566296863986
"905","LARS1","Leucine--tRNA ligase, cytoplasmic",0.0754577716047464,0.161139339253233
"906","NAA10","N-alpha-acetyltransferase 10",0.0753692163542521,0.368900053865407
"907","SRP14","Signal recognition particle 14 kDa protein",0.0753677124361296,0.39682727620023
"908","APEX1","DNA-(apurinic or apyrimidinic site) endonuclease",0.0753589790266993,0.183952662831508
"909","GART","Trifunctional purine biosynthetic protein adenosine-3",0.0753582243254467,0.193257617284631
"910","MOB4","MOB-like protein phocein",0.0748246788857472,0.284635010344994
"911","ERAP1","Endoplasmic reticulum aminopeptidase 1",0.0747251963542315,0.280962456476621
"912","HSPA9","Stress-70 protein, mitochondrial",0.0744154892797919,0.157623028490006
"913","SUMO2","Small ubiquitin-related modifier 2",0.0742462491898515,0.341489998635662
"914","VARS1","Valine--tRNA ligase",0.0741963473759721,0.213368479288794
"915","GMPR","GMP reductase 1",0.0741503988637611,0.348019436787492
"916","AIFM1","Apoptosis-inducing factor 1, mitochondrial",0.074088191591235,0.162958922647238
"917","CISD1","CDGSH iron-sulfur domain-containing protein 1",0.0738087007490833,0.241851247029466
"918","NDUFB11","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",0.0737054436431102,0.29245595716862
"919","NANS","Sialic acid synthase",0.0736437475203964,0.173208102957534
"920","SKIC3","SKI3 subunit of superkiller complex protein",0.0735703510975725,0.274936931322988
"921","TFB2M","Dimethyladenosine transferase 2, mitochondrial",0.0735227849802698,0.511297644889508
"922","ABCC1","Multidrug resistance-associated protein 1",0.0733777946746681,0.39682727620023
"923","TUBA8","Tubulin alpha-8 chain",0.0732315087533344,0.334612617154952
"924","LSM8","U6 snRNA-associated Sm-like protein LSm8",0.0728938740066347,0.368926555997554
"925","DNAJB4","DnaJ homolog subfamily B member 4",0.0728570213804769,0.26800786377771
"926","PHYHD1","Phytanoyl-CoA dioxygenase domain-containing protein 1",0.072629312604688,0.399942725951557
"927","PCCA","Propionyl-CoA carboxylase alpha chain, mitochondrial",0.0725723227505295,0.331907868351941
"928","IBA57","Putative transferase CAF17, mitochondrial",0.0724657689585868,0.343003318664476
"929","ALDH1A2","Retinal dehydrogenase 2",0.0724647116248693,0.435133836516193
"930","ACOT13","Acyl-coenzyme A thioesterase 13",0.0723599092908813,0.386720724935273
"931","APOC3","Apolipoprotein C-III",0.0721142134704724,0.442342842167799
"932","UFD1","Ubiquitin recognition factor in ER-associated degradation protein 1",0.0720627343311886,0.24420748462023
"933","C1QBP","Complement component 1 Q subcomponent-binding protein, mitochondrial",0.0720026626051542,0.200069835115292
"934","MAPK3","Mitogen-activated protein kinase 3",0.0718806977177486,0.269834048263294
"935","OXSM","3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",0.0717177210018356,0.430599016377042
"936","MYO18A","Unconventional myosin-XVIIIa",0.0717106133221534,0.334965145365951
"937","ADPRH","ADP-ribosylhydrolase ARH1",0.0717004737834532,0.307289464924917
"938","AKR7A2","Aflatoxin B1 aldehyde reductase member 2",0.071494024469672,0.203757014777684
"939","LDB3","LIM domain-binding protein 3",0.0713776560049126,0.112876440624901
"940","BLMH","Bleomycin hydrolase",0.0713437837012005,0.305043310250668
"941","NAPG","Gamma-soluble NSF attachment protein",0.0712988483492207,0.305561930366155
"942","SNRPC","U1 small nuclear ribonucleoprotein C",0.0712777815306715,0.382178905278644
"943","TRIM28","Transcription intermediary factor 1-beta",0.0712316103825916,0.248590369753236
"944","MIPEP","Mitochondrial intermediate peptidase",0.0711019595301963,0.417305425222185
"945","ADSS1","Adenylosuccinate synthetase isozyme 1",0.0710285871096445,0.199748704103262
"946","TYMP","Thymidine phosphorylase",0.0709261440591611,0.377301498714967
"947","PPA1","Inorganic pyrophosphatase",0.0708570234622155,0.118228689020551
"948","PCNA","Proliferating cell nuclear antigen",0.0708371495159632,0.429181376710848
"949","MSRB2","Methionine-R-sulfoxide reductase B2, mitochondrial",0.0708144613167914,0.35493358399653
"950","YWHAH","14-3-3 protein eta",0.0707419698117384,0.199584290798045
"951","ADA","Adenosine deaminase",0.0705816765955216,0.49780171338018
"952","LARP4","La-related protein 4",0.0704177922800042,0.386617109698467
"953","HSPA4","Heat shock 70 kDa protein 4",0.070385420560747,0.0766710582903131
"954","PRKDC","DNA-dependent protein kinase catalytic subunit",0.0703104274397965,0.118228689020551
"955","HDHD2","Haloacid dehalogenase-like hydrolase domain-containing protein 2",0.0698123469394236,0.248590369753236
"956","PRKAR1A","cAMP-dependent protein kinase type I-alpha regulatory subunit",0.069740491559422,0.152246354870072
"957","UBQLN1","Ubiquilin-1",0.0694335299832893,0.276094427701948
"958","NDUFS7","NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",0.0694312298456534,0.337119108371845
"959","APRT","Adenine phosphoribosyltransferase",0.06935921298148,0.268612134708479
"960","SF3B2","Splicing factor 3B subunit 2",0.0691133984127816,0.29245595716862
"961","CDK4","Cyclin-dependent kinase 4",0.0690430740695192,0.366193185648447
"962","RAB6A","Ras-related protein Rab-6A",0.0689615138532425,0.293725046822744
"963","GAPDH","Glyceraldehyde-3-phosphate dehydrogenase",0.0687899777800318,0.412061670600146
"964","HSPA5","Endoplasmic reticulum chaperone BiP",0.0684352173123113,0.154055745831442
"965","PRKCQ","Protein kinase C theta type",0.0683590013758106,0.269455494944084
"966","ECHDC1","Ethylmalonyl-CoA decarboxylase",0.0683414221103025,0.360202418871817
"967","FUS","RNA-binding protein FUS",0.0681995341545605,0.42097880114603
"968","CCT4","T-complex protein 1 subunit delta",0.0680498066182498,0.194544956403934
"969","DUSP3","Dual specificity protein phosphatase 3",0.0679909625816162,0.163026667693218
"970","MLYCD","Malonyl-CoA decarboxylase, mitochondrial",0.0679868985549668,0.382893269205419
"971","PPME1","Protein phosphatase methylesterase 1",0.0678633697581219,0.156168451203879
"972","ACADM","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0.0678476987290964,0.395183638834142
"973","ATE1","Arginyl-tRNA--protein transferase 1",0.0677909467114084,0.340281749646644
"974","PPP5C","Serine/threonine-protein phosphatase 5",0.0677204761810284,0.0935598544864361
"975","NAGK","N-acetyl-D-glucosamine kinase",0.0676460164983457,0.324154500015112
"976","PPM1A","Protein phosphatase 1A",0.0674146892376495,0.132991925076965
"977","PAK2","Serine/threonine-protein kinase PAK 2",0.0673921648087852,0.2338798584515
"978","DDX23","Probable ATP-dependent RNA helicase DDX23",0.0673664132350815,0.433672435738287
"979","NARS2","Probable asparagine--tRNA ligase, mitochondrial",0.0672030605414911,0.453828213160079
"980","CPT2","Carnitine O-palmitoyltransferase 2, mitochondrial",0.0672007984689209,0.362692747105238
"981","CRAT","Carnitine O-acetyltransferase",0.0670538637813927,0.415588917284113
"982","PDCD6IP","Programmed cell death 6-interacting protein",0.0669784590729332,0.163404912982213
"983","OSTF1","Osteoclast-stimulating factor 1",0.0669714846725764,0.437734124392874
"984","SPAG9","C-Jun-amino-terminal kinase-interacting protein 4",0.0669178062484956,0.250403492051445
"985","AKAP7","A-kinase anchor protein 7 isoform gamma",0.0668187827165294,0.42097880114603
"986","GSTZ1","Maleylacetoacetate isomerase",0.0667749378625153,0.337910423846883
"987","AP2B1","AP-2 complex subunit beta",0.0663995800372543,0.212756040480055
"988","SNX21","Sorting nexin-21",0.0663816585305987,0.420922794856388
"989","TSFM","Elongation factor Ts, mitochondrial",0.0662320919970991,0.33956494884888
"990","FLAD1","FAD synthase",0.0661582120175552,0.33956494884888
"991","KPNA4","Importin subunit alpha-3",0.0661179995811843,0.140244147080649
"992","C11orf68","UPF0696 protein C11orf68",0.0660229500896072,0.240893055456756
"993","NDUFS6","NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",0.0660052461975376,0.376621040186641
"994","SUCLG2","Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",0.0659825771528819,0.432677983778284
"995","PDLIM1","PDZ and LIM domain protein 1",0.0659655323172679,0.559527304504213
"996","SEC24C","Protein transport protein Sec24C",0.065886319868703,0.30679537166207
"997","UFL1","E3 UFM1-protein ligase 1",0.0655871674328612,0.394463319577802
"998","TST","Thiosulfate sulfurtransferase",0.0654644579490782,0.450964700873057
"999","STOML2","Stomatin-like protein 2, mitochondrial",0.0653307908564233,0.3359787545919
"1000","MARS1","Methionine--tRNA ligase, cytoplasmic",0.0652711951699434,0.369733191394887
"1001","PPP2R1A","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform",0.0652637049640212,0.0430234126863298
"1002","DERA","Deoxyribose-phosphate aldolase",0.0652357025507726,0.244418012739164
"1003","PLIN5","Perilipin-5",0.0651339806134814,0.496695469206302
"1004","DDX17","Probable ATP-dependent RNA helicase DDX17",0.0648866243552373,0.135242718780951
"1005","SYPL1","Synaptophysin-like protein 1",0.0647681003838567,0.449530311835564
