"","Gene_name","Description","log2FC_male-female","q-value","fiber_type"
"710","PSMD13","26S proteasome non-ATPase regulatory subunit 13",0.152889307537876,0.290199932058585,"type_1"
"711","RPL27","60S ribosomal protein L27",0.152779503875363,0.482874502240823,"type_1"
"712","PSMD2","26S proteasome non-ATPase regulatory subunit 2",0.152596330442698,0.316889283786727,"type_1"
"713","GMFB","Glia maturation factor beta",0.152573416342356,0.592520009811549,"type_1"
"714","ECHDC3","Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",0.152565335948639,0.723642075364072,"type_1"
"715","MFN1","Mitofusin-1",0.152522325346713,0.624864479278011,"type_1"
"716","NDUFB9","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9",0.152464425803034,0.460373379237395,"type_1"
"717","MTIF2","Translation initiation factor IF-2, mitochondrial",0.152408219859822,0.653401251650329,"type_1"
"718","NEDD8","NEDD8",0.151667162553908,0.556281594995649,"type_1"
"719","HNRNPU","Heterogeneous nuclear ribonucleoprotein U",0.151651075278517,0.474581652337036,"type_1"
"720","CTTN","Src substrate cortactin",0.151333268857009,0.515312952175933,"type_1"
"721","CS","Citrate synthase, mitochondrial",0.150918227831074,0.427371762482106,"type_1"
"722","EIF4A1","Eukaryotic initiation factor 4A-I",0.150568806935141,0.611356494645403,"type_1"
"723","HMBS","Porphobilinogen deaminase",0.150561064933335,0.599036639861154,"type_1"
"724","EEF1A1","Elongation factor 1-alpha 1",0.150461876229414,0.489300078611381,"type_1"
"725","NDUFS3","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",0.150005528655317,0.494924780465922,"type_1"
"726","NPM1","Nucleophosmin",0.149574299689107,0.429199005985363,"type_1"
"727","CISD2","CDGSH iron-sulfur domain-containing protein 2",0.1494235964499,0.786949246310867,"type_1"
"728","PHPT1","14 kDa phosphohistidine phosphatase",0.149411461993594,0.407344182099538,"type_1"
"729","SYNCRIP","Heterogeneous nuclear ribonucleoprotein Q",0.149018490686341,0.455568367471707,"type_1"
"730","LHPP","Phospholysine phosphohistidine inorganic pyrophosphate phosphatase",0.1486171593957,0.589014517582524,"type_1"
"731","NDUFA6","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6",0.148613659991128,0.472779374275317,"type_1"
"732","RPLP2","60S acidic ribosomal protein P2",0.148605128803199,0.433256147378264,"type_1"
"733","CHCHD7","Coiled-coil-helix-coiled-coil-helix domain-containing protein 7",0.148458991525784,0.75411408542485,"type_1"
"734","GPHN","Gephyrin",0.148451905754909,0.491840460760724,"type_1"
"735","CA2","Carbonic anhydrase 2",0.148182904242077,0.482874502240823,"type_1"
"736","LYPLA1","Acyl-protein thioesterase 1",0.148127423133095,0.556281594995649,"type_1"
"737","LAMTOR5","Ragulator complex protein LAMTOR5",0.148109053406532,0.507721054141479,"type_1"
"738","ACSF3","Malonate--CoA ligase ACSF3, mitochondrial",0.148010182124175,0.611356494645403,"type_1"
"739","NDUFAF4","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4",0.147947397224495,0.602464644744492,"type_1"
"740","COA6","Cytochrome c oxidase assembly factor 6 homolog",0.147338016780067,0.455966868843748,"type_1"
"741","BLVRB","Flavin reductase (NADPH)",0.147265818700404,0.525924086764073,"type_1"
"742","MRPL46","39S ribosomal protein L46, mitochondrial",0.147151695652974,0.413970908167083,"type_1"
"743","ATP5F1C","ATP synthase subunit gamma, mitochondrial",0.147089327795278,0.556281594995649,"type_1"
"744","FILIP1","Filamin-A-interacting protein 1",0.146880934562725,0.551208618589595,"type_1"
"745","CHP1","Calcineurin B homologous protein 1",0.146652402699734,0.556281594995649,"type_1"
"746","RWDD1","RWD domain-containing protein 1",0.146524135842121,0.434720698191064,"type_1"
"747","RPS11","40S ribosomal protein S11",0.146443201229127,0.641279097398825,"type_1"
"748","NES","Nestin",0.145894183832644,0.718182562266425,"type_1"
"749","STX7","Syntaxin-7",0.145805329319026,0.673121158325524,"type_1"
"750","NRP1","Neuropilin-1",0.145798158239074,0.730391315440388,"type_1"
"751","GIT2","ARF GTPase-activating protein GIT2",0.14571624264946,0.529289439266876,"type_1"
"752","GCDH","Glutaryl-CoA dehydrogenase, mitochondrial",0.145397153535914,0.605773410149365,"type_1"
"753","LMOD2","Leiomodin-2",0.145371610654406,0.521472752759128,"type_1"
"754","JPH2","Junctophilin-2",0.145205416606963,0.474581652337036,"type_1"
"755","CSNK1A1","Casein kinase I isoform alpha",0.145028413149115,0.66333597125489,"type_1"
"756","RPS3","40S ribosomal protein S3",0.145024978806465,0.531015587037943,"type_1"
"757","NDRG2","Protein NDRG2",0.144894414440714,0.564189348344071,"type_1"
"758","SPTA1","Spectrin alpha chain, erythrocytic 1",0.144593955094484,0.762689976204073,"type_1"
"759","CALM1","Calmodulin-1",0.144566014469424,0.592490512178308,"type_1"
"760","HTATSF1","HIV Tat-specific factor 1",0.144446700893649,0.706786354504255,"type_1"
"761","LAMTOR3","Ragulator complex protein LAMTOR3",0.144199445046766,0.517477033563527,"type_1"
"762","MSRB2","Methionine-R-sulfoxide reductase B2, mitochondrial",0.144128038887624,0.484557244095669,"type_1"
"763","RPL7A","60S ribosomal protein L7a",0.143999863787652,0.569657932407995,"type_1"
"764","TPM4","Tropomyosin alpha-4 chain",0.14395662963037,0.556281594995649,"type_1"
"765","BPNT1","3'(2'),5'-bisphosphate nucleotidase 1",0.143833919366044,0.523870670033493,"type_1"
"766","LDHD","Probable D-lactate dehydrogenase, mitochondrial",0.143818468100257,0.614902536812847,"type_1"
"767","MRI1","Methylthioribose-1-phosphate isomerase",0.143342568569528,0.636566942369729,"type_1"
"768","ISOC2","Isochorismatase domain-containing protein 2",0.143266191221242,0.454516280487836,"type_1"
"769","CAV2","Caveolin-2",0.143247454430718,0.543728480931481,"type_1"
"770","THOC2","THO complex subunit 2",0.143197153512101,0.710747105752708,"type_1"
"771","VPS26A","Vacuolar protein sorting-associated protein 26A",0.142877188093543,0.499817916185496,"type_1"
"772","GATD3B","Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",0.141605270431718,0.584699829358339,"type_1"
"773","TBCC","Tubulin-specific chaperone C",0.141468489231899,0.564189348344071,"type_1"
"774","PSME1","Proteasome activator complex subunit 1",0.141428219111257,0.411252159472012,"type_1"
"775","AKAP1","A-kinase anchor protein 1, mitochondrial",0.141178545123301,0.538265794581687,"type_1"
"776","DNAJB11","DnaJ homolog subfamily B member 11",0.140989447376478,0.611356494645403,"type_1"
"777","ABCB10","ATP-binding cassette sub-family B member 10, mitochondrial",0.140453503661126,0.741346408787242,"type_1"
"778","PSMF1","Proteasome inhibitor PI31 subunit",0.140305113967514,0.496751710619059,"type_1"
"779","HBG2","Hemoglobin subunit gamma-2",0.140302617970312,0.827738649945128,"type_1"
"780","DCTN2","Dynactin subunit 2",0.139986678902787,0.369048207299434,"type_1"
"781","PDK2","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",0.139840910725852,0.629658510541873,"type_1"
"782","TRPT1","tRNA 2'-phosphotransferase 1",0.139814560573132,0.727435617418321,"type_1"
"783","NARS2","Probable asparagine--tRNA ligase, mitochondrial",0.139721756615229,0.590744189237062,"type_1"
"784","MGLL","Monoglyceride lipase",0.139694693165865,0.590999354520212,"type_1"
"785","ATP5MF","ATP synthase subunit f, mitochondrial",0.139606721527986,0.590744189237062,"type_1"
"786","UQCC2","Ubiquinol-cytochrome-c reductase complex assembly factor 2",0.139604606689543,0.66517790689661,"type_1"
"787","HNRNPA3","Heterogeneous nuclear ribonucleoprotein A3",0.139552290023738,0.383916125695682,"type_1"
"788","NDUFS4","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",0.139317827567234,0.58824363698087,"type_1"
"789","EEF2","Elongation factor 2",0.139292048958385,0.418730678899026,"type_1"
"790","ACHE","Acetylcholinesterase",0.139214059303844,0.721003628377498,"type_1"
"791","LSM1","U6 snRNA-associated Sm-like protein LSm1",0.139207614866473,0.564189348344071,"type_1"
"792","MECR","Enoyl-[acyl-carrier-protein] reductase, mitochondrial",0.139066817855092,0.469051589886223,"type_1"
"793","COA3","Cytochrome c oxidase assembly factor 3 homolog, mitochondrial",0.139023064819163,0.569302755601934,"type_1"
"794","SLMAP","Sarcolemmal membrane-associated protein",0.138956245627968,0.560182986303947,"type_1"
"795","NDUFS1","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",0.138341235923267,0.482874502240823,"type_1"
"796","CPT2","Carnitine O-palmitoyltransferase 2, mitochondrial",0.138309737573927,0.486445435620123,"type_1"
"797","ATE1","Arginyl-tRNA--protein transferase 1",0.138173955364113,0.660621139944767,"type_1"
"798","NOL3","Nucleolar protein 3",0.138032873907729,0.426901591733571,"type_1"
"799","PFDN6","Prefoldin subunit 6",0.138026350313659,0.43906157464781,"type_1"
"800","TTR","Transthyretin",0.137794229626307,0.66517790689661,"type_1"
"801","CDKN1B","Cyclin-dependent kinase inhibitor 1B",0.137549277700943,0.697238209552285,"type_1"
"802","PPP6R3","Serine/threonine-protein phosphatase 6 regulatory subunit 3",0.137408168879638,0.481560469558625,"type_1"
"803","NDUFV1","NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",0.137341454918932,0.469423161785803,"type_1"
"804","FNTA","Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha",0.137297177544305,0.434400712811039,"type_1"
"805","HIBCH","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",0.137114143640966,0.621690333088553,"type_1"
"806","NIBAN2","Protein Niban 2",0.137064941038036,0.734631836664464,"type_1"
"807","TOMM22","Mitochondrial import receptor subunit TOM22 homolog",0.136696075376927,0.619794792695112,"type_1"
"808","UBA6","Ubiquitin-like modifier-activating enzyme 6",0.136600070184521,0.556281594995649,"type_1"
"809","GSN","Gelsolin",0.136519195697954,0.482874502240823,"type_1"
"810","GPX4","Phospholipid hydroperoxide glutathione peroxidase",0.136458721010206,0.525924086764073,"type_1"
"811","THBS4","Thrombospondin-4",0.136372299108041,0.747227654035216,"type_1"
"812","VPS35L","VPS35 endosomal protein-sorting factor-like",0.136359385352929,0.702997010267408,"type_1"
"813","PRPS1","Ribose-phosphate pyrophosphokinase 1",0.136294606726381,0.564189348344071,"type_1"
"814","NDUFB8","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",0.13603184936639,0.539816375503994,"type_1"
"815","EHBP1L1","EH domain-binding protein 1-like protein 1",0.136030048023237,0.51567363174194,"type_1"
"816","PGK1","Phosphoglycerate kinase 1",0.136009126176358,0.495774731718397,"type_1"
"817","ACYP2","Acylphosphatase-2",0.135902044114729,0.639866312431694,"type_1"
"818","FHL3","Four and a half LIM domains protein 3",0.135880169922487,0.482874502240823,"type_1"
"819","APMAP","Adipocyte plasma membrane-associated protein",0.135879268540675,0.619794792695112,"type_1"
"820","MYH9","Myosin-9",0.135825148147052,0.426901591733571,"type_1"
"821","ACTB","Actin, cytoplasmic 1",0.135778050818786,0.379804494186432,"type_1"
"822","CCDC124","Coiled-coil domain-containing protein 124",0.135763707155517,0.621690333088553,"type_1"
"823","STARD10","START domain-containing protein 10",0.135439527634118,0.744255529366704,"type_1"
"824","TATDN3","Putative deoxyribonuclease TATDN3",0.135274459275358,0.645840916189469,"type_1"
"825","TMED2","Transmembrane emp24 domain-containing protein 2",0.135266447309606,0.66517790689661,"type_1"
"826","PSMD4","26S proteasome non-ATPase regulatory subunit 4",0.135233791515368,0.472779374275317,"type_1"
"827","MACROD1","ADP-ribose glycohydrolase MACROD1",0.135207175624338,0.399679771847496,"type_1"
"828","PPP1CB","Serine/threonine-protein phosphatase PP1-beta catalytic subunit",0.134721290172324,0.450225370745291,"type_1"
"829","UGP2","UTP--glucose-1-phosphate uridylyltransferase",0.134574459454278,0.474581652337036,"type_1"
"830","RPL15","60S ribosomal protein L15",0.134528904445068,0.596990484998649,"type_1"
"831","HSD17B4","Peroxisomal multifunctional enzyme type 2",0.134499477284431,0.494924780465922,"type_1"
"832","HNRNPUL2","Heterogeneous nuclear ribonucleoprotein U-like protein 2",0.134112692790584,0.482874502240823,"type_1"
"833","DDAH1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",0.134049102060029,0.665951126038551,"type_1"
"834","DBT","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",0.133969879506067,0.590999354520212,"type_1"
"835","HNRNPH1","Heterogeneous nuclear ribonucleoprotein H",0.133907551626852,0.52185827279818,"type_1"
"836","HGS","Hepatocyte growth factor-regulated tyrosine kinase substrate",0.13389214463278,0.589014517582524,"type_1"
"837","PIN1","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1",0.133825988228592,0.496751710619059,"type_1"
"838","PLS3","Plastin-3",0.133759283465826,0.472779374275317,"type_1"
"839","MRPL47","39S ribosomal protein L47, mitochondrial",0.133554598905803,0.77129847239496,"type_1"
"840","NLRX1","NLR family member X1",0.133523150548989,0.556281594995649,"type_1"
"841","GARS1","Glycine--tRNA ligase",0.133517207339247,0.456438275275134,"type_1"
"842","XPNPEP1","Xaa-Pro aminopeptidase 1",0.133252617219485,0.456438275275134,"type_1"
"843","NID2","Nidogen-2",0.133117990697745,0.484557244095669,"type_1"
"844","EHD2","EH domain-containing protein 2",0.132630000801681,0.486726197769695,"type_1"
"845","RHOT1","Mitochondrial Rho GTPase 1",0.132589053041313,0.586118512143151,"type_1"
"846","KRT6C","Keratin, type II cytoskeletal 6C",0.132552640509259,0.808740773761949,"type_1"
"847","XRCC5","X-ray repair cross-complementing protein 5",0.132516055299275,0.581378604804598,"type_1"
"848","IKBKB","Inhibitor of nuclear factor kappa-B kinase subunit beta",0.132480043491226,0.806271683275913,"type_1"
"849","MARCKS","Myristoylated alanine-rich C-kinase substrate",0.132428553714176,0.720514409027327,"type_1"
"850","LUC7L2","Putative RNA-binding protein Luc7-like 2",0.132333238822389,0.723642075364072,"type_1"
"851","TNKS1BP1","182 kDa tankyrase-1-binding protein",0.132141628486169,0.78633447970237,"type_1"
"852","FECH","Ferrochelatase, mitochondrial",0.132088620154871,0.542943303204367,"type_1"
"853","DIABLO","Diablo IAP-binding mitochondrial protein",0.13208341615473,0.482874502240823,"type_1"
"854","CDSN","Corneodesmosin",0.132054557622878,0.777687285897575,"type_1"
"855","RAB10","Ras-related protein Rab-10",0.132014541786063,0.458770250795624,"type_1"
"856","VAMP3","Vesicle-associated membrane protein 3",0.131626401781467,0.650149239769914,"type_1"
"857","OPA1","Dynamin-like 120 kDa protein, mitochondrial",0.131215776448188,0.409089473853327,"type_1"
"858","LRRFIP2","Leucine-rich repeat flightless-interacting protein 2",0.131152054477434,0.652160738836978,"type_1"
"859","NUP155","Nuclear pore complex protein Nup155",0.130997629632219,0.654057347203477,"type_1"
"860","FARSB","Phenylalanine--tRNA ligase beta subunit",0.130973106159741,0.410483386830808,"type_1"
"861","RALY","RNA-binding protein Raly",0.13092709198771,0.602949575647175,"type_1"
"862","MT-ND1","NADH-ubiquinone oxidoreductase chain 1",0.130636376215708,0.742064864145764,"type_1"
"863","AFG3L2","AFG3-like protein 2",0.130593404033476,0.376070050994896,"type_1"
"864","PGM1","Phosphoglucomutase-1",0.130185520992629,0.554638111543525,"type_1"
"865","ALG5","Dolichyl-phosphate beta-glucosyltransferase",0.130161001495804,0.745224745753179,"type_1"
"866","SIRT5","NAD-dependent protein deacylase sirtuin-5, mitochondrial",0.129614099303261,0.541723874124858,"type_1"
"867","SCFD1","Sec1 family domain-containing protein 1",0.129297243483087,0.479163492147596,"type_1"
"868","KLC1","Kinesin light chain 1",0.129199471734619,0.427371762482106,"type_1"
"869","CSNK2B","Casein kinase II subunit beta",0.129029578047794,0.486445435620123,"type_1"
"870","LDHA","L-lactate dehydrogenase A chain",0.128863732188485,0.739255018897995,"type_1"
"871","PPM1A","Protein phosphatase 1A",0.128649795934052,0.435141836284951,"type_1"
"872","RMDN1","Regulator of microtubule dynamics protein 1",0.128341944284069,0.635229429241724,"type_1"
"873","RHAG","Ammonium transporter Rh type A",0.128215402809651,0.813553384032734,"type_1"
"874","RPS3A","40S ribosomal protein S3a",0.128202100544929,0.643392469070523,"type_1"
"875","ALDH6A1","Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",0.128056686429865,0.718937665093622,"type_1"
"876","CAMK2A","Calcium/calmodulin-dependent protein kinase type II subunit alpha",0.127644774060478,0.645840916189469,"type_1"
"877","CCDC25","Coiled-coil domain-containing protein 25",0.127581826160675,0.719603252358085,"type_1"
"878","KIF5B","Kinesin-1 heavy chain",0.127570175644971,0.486445435620123,"type_1"
"879","RPS27A","Ubiquitin-40S ribosomal protein S27a",0.127438768031173,0.545415948027541,"type_1"
"880","MRPL49","39S ribosomal protein L49, mitochondrial",0.127217465152738,0.727049417563678,"type_1"
"881","ACSS3","Acyl-CoA synthetase short-chain family member 3, mitochondrial",0.127153252282255,0.710747105752708,"type_1"
"882","HSPA12A","Heat shock 70 kDa protein 12A",0.126423614826036,0.564189348344071,"type_1"
"883","CCT4","T-complex protein 1 subunit delta",0.126261118916084,0.556281594995649,"type_1"
"884","RPL13A","60S ribosomal protein L13a",0.126166192889839,0.737412895717089,"type_1"
"885","PGAM2","Phosphoglycerate mutase 2",0.125960239243607,0.508630344248697,"type_1"
"886","HSPA8","Heat shock cognate 71 kDa protein",0.125902052759635,0.379804494186432,"type_1"
"887","TXLNB","Beta-taxilin",0.125623111565055,0.584699829358339,"type_1"
"888","HMGB2","High mobility group protein B2",0.125255959261745,0.608303314983587,"type_1"
"889","GPI","Glucose-6-phosphate isomerase",0.124359388542945,0.548124388770569,"type_1"
"890","RHOA","Transforming protein RhoA",0.124266906076912,0.490104698004079,"type_1"
"891","COX17","Cytochrome c oxidase copper chaperone",0.124170468511362,0.666609090076324,"type_1"
"892","ALAD","Delta-aminolevulinic acid dehydratase",0.123790175620991,0.66517790689661,"type_1"
"893","UBE2L3","Ubiquitin-conjugating enzyme E2 L3",0.12356565151056,0.590744189237062,"type_1"
"894","VPS25","Vacuolar protein-sorting-associated protein 25",0.123523013110896,0.603640523570296,"type_1"
"895","TCAP","Telethonin",0.12330003925539,0.511589927127863,"type_1"
"896","EML1","Echinoderm microtubule-associated protein-like 1",0.123026367835383,0.454516280487836,"type_1"
"897","RPA1","Replication protein A 70 kDa DNA-binding subunit",0.123015007448004,0.558224916258167,"type_1"
"898","CCAR2","Cell cycle and apoptosis regulator protein 2",0.123002929278863,0.641136137311589,"type_1"
"899","PRPF8","Pre-mRNA-processing-splicing factor 8",0.122910274078848,0.738272658179322,"type_1"
"900","FRMD8","FERM domain-containing protein 8",0.122440245813504,0.619193056299317,"type_1"
"901","HNRNPDL","Heterogeneous nuclear ribonucleoprotein D-like",0.122394596102458,0.454516280487836,"type_1"
"902","MIX23","Protein MIX23",0.122242220675236,0.619555778441125,"type_1"
"903","SCLY","Selenocysteine lyase",0.122146937954348,0.729368149157338,"type_1"
"904","CISD1","CDGSH iron-sulfur domain-containing protein 1",0.122010761972017,0.511589927127863,"type_1"
"905","CSNK2A1","Casein kinase II subunit alpha",0.121891746047334,0.423303481045258,"type_1"
"906","MDH1","Malate dehydrogenase, cytoplasmic",0.12188633263284,0.52185827279818,"type_1"
"907","PA2G4","Proliferation-associated protein 2G4",0.121663111566168,0.507643720362754,"type_1"
"908","SNX21","Sorting nexin-21",0.12158612094372,0.700038040995785,"type_1"
"909","TFB2M","Dimethyladenosine transferase 2, mitochondrial",0.121360523264046,0.808740773761949,"type_1"
"910","YWHAB","14-3-3 protein beta/alpha",0.120995224856843,0.485576512137459,"type_1"
"911","SYNPO","Synaptopodin",0.120868153749345,0.5398562872192,"type_1"
"912","PCCB","Propionyl-CoA carboxylase beta chain, mitochondrial",0.12080631299103,0.555421746796154,"type_1"
"913","TOMM40","Mitochondrial import receptor subunit TOM40 homolog",0.120682655175363,0.611356494645403,"type_1"
"914","TSG101","Tumor susceptibility gene 101 protein",0.120565093738508,0.569657932407995,"type_1"
"915","YARS2","Tyrosine--tRNA ligase, mitochondrial",0.120458082270806,0.645840916189469,"type_1"
"916","ETFA","Electron transfer flavoprotein subunit alpha, mitochondrial",0.12040948513183,0.556281594995649,"type_1"
"917","IPO7","Importin-7",0.120385788459659,0.592490512178308,"type_1"
"918","RPN2","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2",0.120294316275755,0.661389352178357,"type_1"
"919","PSMD3","26S proteasome non-ATPase regulatory subunit 3",0.120153772539295,0.440641681519749,"type_1"
"920","MMGT1","ER membrane protein complex subunit 5",0.119999327558595,0.718182562266425,"type_1"
"921","ATP5PD","ATP synthase subunit d, mitochondrial",0.11999547214355,0.556553736673669,"type_1"
"922","GBP2","Guanylate-binding protein 2",0.119830788512813,0.619794792695112,"type_1"
"923","AP1B1","AP-1 complex subunit beta-1",0.119597911982439,0.644265091537711,"type_1"
"924","ATP5F1D","ATP synthase subunit delta, mitochondrial",0.119442206291067,0.665951126038551,"type_1"
"925","CALU","Calumenin",0.119225508209645,0.546833519460296,"type_1"
"926","ATAD1","Outer mitochondrial transmembrane helix translocase",0.119149270002207,0.52185827279818,"type_1"
"927","HSPD1","60 kDa heat shock protein, mitochondrial",0.118955622353102,0.40761405549502,"type_1"
"928","CRIP1","Cysteine-rich protein 1",0.11892707503443,0.727435617418321,"type_1"
"929","PSMA7","Proteasome subunit alpha type-7",0.118873605435557,0.487690629011662,"type_1"
"930","RALA","Ras-related protein Ral-A",0.118558873351532,0.525924086764073,"type_1"
"931","ACADVL","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",0.118139279066853,0.545415948027541,"type_1"
"932","PAFAH1B2","Platelet-activating factor acetylhydrolase IB subunit alpha2",0.117787418772165,0.482874502240823,"type_1"
"933","ARHGAP17","Rho GTPase-activating protein 17",0.117641070061609,0.491840460760724,"type_1"
"934","SPARC","SPARC",0.117438724741064,0.66517790689661,"type_1"
"935","ADK","Adenosine kinase",0.116992352232455,0.492563398721993,"type_1"
"936","ECH1","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",0.116778530106785,0.602464644744492,"type_1"
"937","NEXN","Nexilin",0.116435909057365,0.652627932736845,"type_1"
"938","ANP32A","Acidic leucine-rich nuclear phosphoprotein 32 family member A",0.116338395596374,0.71334888973635,"type_1"
"939","ANK1","Ankyrin-1",0.116241075456868,0.771509891682393,"type_1"
"940","MRPL30","39S ribosomal protein L30, mitochondrial",0.11605449447789,0.776048363287474,"type_1"
"941","PSMB7","Proteasome subunit beta type-7",0.115672121586055,0.586118512143151,"type_1"
"942","PDIA4","Protein disulfide-isomerase A4",0.115429947263461,0.569657932407995,"type_1"
"943","SURF4","Surfeit locus protein 4",0.115343406989819,0.605773410149365,"type_1"
"944","KHSRP","Far upstream element-binding protein 2",0.115320003133727,0.582339923424093,"type_1"
"945","NFU1","NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",0.115309652809952,0.66333597125489,"type_1"
"946","TUBB","Tubulin beta chain",0.115203014468566,0.525924086764073,"type_1"
"947","ARL3","ADP-ribosylation factor-like protein 3",0.114785496059785,0.560182986303947,"type_1"
"948","NT5C2","Cytosolic purine 5'-nucleotidase",0.114759982369298,0.744012464929631,"type_1"
"949","YWHAZ","14-3-3 protein zeta/delta",0.114277086241348,0.573305172934083,"type_1"
"950","TNNT1","Troponin T, slow skeletal muscle",0.114142665074819,0.611356494645403,"type_1"
"951","PMPCA","Mitochondrial-processing peptidase subunit alpha",0.11406387151697,0.517477033563527,"type_1"
"952","ATP5PB","ATP synthase F(0) complex subunit B1, mitochondrial",0.113644350568567,0.564858985004181,"type_1"
"953","COMTD1","Catechol O-methyltransferase domain-containing protein 1",0.113574616288753,0.741346408787242,"type_1"
"954","DNAJC21","DnaJ homolog subfamily C member 21",0.113526078133958,0.584699829358339,"type_1"
"955","ACOT9","Acyl-coenzyme A thioesterase 9, mitochondrial",0.113437764556993,0.454516280487836,"type_1"
"956","SNRNP200","U5 small nuclear ribonucleoprotein 200 kDa helicase",0.113382056038621,0.645840916189469,"type_1"
"957","UQCR11","Cytochrome b-c1 complex subunit 10",0.113275247576148,0.681341109798301,"type_1"
"958","RHOG","Rho-related GTP-binding protein RhoG",0.113272655447579,0.646940851000173,"type_1"
"959","PABPC4","Polyadenylate-binding protein 4",0.112821847940372,0.525924086764073,"type_1"
"960","ATP2B1","Plasma membrane calcium-transporting ATPase 1",0.112572885831975,0.645840916189469,"type_1"
"961","NDUFA5","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5",0.112463565047527,0.556281594995649,"type_1"
"962","CCDC90B","Coiled-coil domain-containing protein 90B, mitochondrial",0.111904169915242,0.684113975268613,"type_1"
"963","HNRNPA0","Heterogeneous nuclear ribonucleoprotein A0",0.111570188979449,0.602464644744492,"type_1"
"964","ADSL","Adenylosuccinate lyase",0.111537902473723,0.511589927127863,"type_1"
"965","DNAJB4","DnaJ homolog subfamily B member 4",0.1115203157616,0.666609090076324,"type_1"
"966","BIN1","Myc box-dependent-interacting protein 1",0.1114003640668,0.592490512178308,"type_1"
"967","PTPN23","Tyrosine-protein phosphatase non-receptor type 23",0.111358665312629,0.669726445166912,"type_1"
"968","PPID","Peptidyl-prolyl cis-trans isomerase D",0.111087185210662,0.655492935057226,"type_1"
"969","FUNDC2","FUN14 domain-containing protein 2",0.111053505215221,0.560182986303947,"type_1"
"970","MB","Myoglobin",0.11102141663979,0.5398562872192,"type_1"
"971","RPS27","40S ribosomal protein S27",0.110899775293976,0.613813453694711,"type_1"
"972","GSR","Glutathione reductase, mitochondrial",0.110884247908592,0.499817916185496,"type_1"
"973","HDLBP","Vigilin",0.110802233568847,0.666609090076324,"type_1"
"974","RNPEP","Aminopeptidase B",0.110692996475949,0.732296665002197,"type_1"
"975","TRAP1","Heat shock protein 75 kDa, mitochondrial",0.11068187877911,0.560182986303947,"type_1"
"976","PGAM1","Phosphoglycerate mutase 1",0.110508876120514,0.611356494645403,"type_1"
"977","NFIC","Nuclear factor 1 C-type",0.110416734634374,0.684768383468558,"type_1"
"978","DOHH","Deoxyhypusine hydroxylase",0.110392248129443,0.726248545873793,"type_1"
"979","RPS16","40S ribosomal protein S16",0.110240726947833,0.625825350517657,"type_1"
"980","COQ3","Ubiquinone biosynthesis O-methyltransferase, mitochondrial",0.110232085708324,0.55096847163562,"type_1"
"981","ABCE1","ATP-binding cassette sub-family E member 1",0.110169360146282,0.484557244095669,"type_1"
"982","KRT6B","Keratin, type II cytoskeletal 6B",0.109981210121024,0.813553384032734,"type_1"
"983","TOMM20","Mitochondrial import receptor subunit TOM20 homolog",0.109885553764961,0.747537473246,"type_1"
"984","HNRNPL","Heterogeneous nuclear ribonucleoprotein L",0.109866295334815,0.560182986303947,"type_1"
"985","ABHD5","1-acylglycerol-3-phosphate O-acyltransferase ABHD5",0.109788347130905,0.718182562266425,"type_1"
"986","NDUFA12","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12",0.109662329101015,0.602464644744492,"type_1"
"987","SUCLG2","Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",0.109525664449897,0.683741938456051,"type_1"
"988","ELOC","Elongin-C",0.109495150412958,0.621690333088553,"type_1"
"989","TUBG1","Tubulin gamma-1 chain",0.109410109139858,0.669726445166912,"type_1"
"990","EIF3M","Eukaryotic translation initiation factor 3 subunit M",0.109178166067991,0.603640523570296,"type_1"
"991","BANF1","Barrier-to-autointegration factor",0.1090463030612,0.621397503414974,"type_1"
"992","NIPSNAP2","Protein NipSnap homolog 2",0.109023578504331,0.492563398721993,"type_1"
"993","USO1","General vesicular transport factor p115",0.108980448974416,0.482874502240823,"type_1"
