"","Gene_name","Description","log2FC_post-pre","q-value","sex","fiber_type"
"2740","HBD","Hemoglobin subunit delta",-0.287847569818723,0.538563025565386,"female","type_1"
"2741","UBFD1","Ubiquitin domain-containing protein UBFD1",-0.288411547260482,0.30944614170131,"female","type_1"
"2742","STEAP4","Metalloreductase STEAP4",-0.289839059375776,0.528405942933358,"female","type_1"
"2743","C19orf12","Protein C19orf12",-0.289885310321205,0.392929433502235,"female","type_1"
"2744","AGPAT3","1-acyl-sn-glycerol-3-phosphate acyltransferase gamma",-0.290024274142718,0.265245115547403,"female","type_1"
"2745","CHCHD10","Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",-0.291783852039073,0.542667340824565,"female","type_1"
"2746","GOLGA3","Golgin subfamily A member 3",-0.292118999552882,0.108250514137651,"female","type_1"
"2747","GOLPH3","Golgi phosphoprotein 3",-0.292316675292446,0.232071068955856,"female","type_1"
"2748","PECAM1","Platelet endothelial cell adhesion molecule",-0.293464780627049,0.471797565664011,"female","type_1"
"2749","CA1","Carbonic anhydrase 1",-0.295854689428865,0.492117763963272,"female","type_1"
"2750","PF4","Platelet factor 4",-0.296316453451333,0.421819536398003,"female","type_1"
"2751","MT-ND2","NADH-ubiquinone oxidoreductase chain 2",-0.296485823018749,0.173583172976651,"female","type_1"
"2752","ADH1C","Alcohol dehydrogenase 1C",-0.296788639771124,0.35673943030395,"female","type_1"
"2753","YBX1","Y-box-binding protein 1",-0.297777859971577,0.452205507008343,"female","type_1"
"2754","XIRP1","Xin actin-binding repeat-containing protein 1",-0.297915445496994,0.289235309085013,"female","type_1"
"2755","EARS2","Probable glutamate--tRNA ligase, mitochondrial",-0.301752614205734,0.573957692522879,"female","type_1"
"2756","SPTA1","Spectrin alpha chain, erythrocytic 1",-0.302277294263169,0.45606233698652,"female","type_1"
"2757","NOP14","Nucleolar protein 14",-0.304378380274931,0.421780463298464,"female","type_1"
"2758","VCAN","Versican core protein",-0.304501913084469,0.312193576482768,"female","type_1"
"2759","NEDD4","E3 ubiquitin-protein ligase NEDD4",-0.305614343498002,0.328449076422455,"female","type_1"
"2760","AP1G1","AP-1 complex subunit gamma-1",-0.30645064162281,0.34676059018925,"female","type_1"
"2761","ATG7","Ubiquitin-like modifier-activating enzyme ATG7",-0.308533568520858,0.34141961623404,"female","type_1"
"2762","LSM14A","Protein LSM14 homolog A",-0.310198449777593,0.336482113319088,"female","type_1"
"2763","MFN1","Mitofusin-1",-0.313326510354175,0.30944614170131,"female","type_1"
"2764","TXNDC9","Thioredoxin domain-containing protein 9",-0.313368426068131,0.265181663725436,"female","type_1"
"2765","RAB1A","Ras-related protein Rab-1A",-0.313852654726512,0.273467027518352,"female","type_1"
"2766","TTN","Titin",-0.313913987008796,0.372412216275769,"female","type_1"
"2767","QRICH1","Transcriptional regulator QRICH1",-0.31543607873261,0.321095884711644,"female","type_1"
"2768","DBNL","Drebrin-like protein",-0.316809110752944,0.498877232235882,"female","type_1"
"2769","PEX14","Peroxisomal membrane protein PEX14",-0.317017909286433,0.336279977204323,"female","type_1"
"2770","METTL7A","Putative methyltransferase-like protein 7A",-0.317113108401424,0.185722231376788,"female","type_1"
"2771","SERPINA3","Alpha-1-antichymotrypsin",-0.317496797681315,0.196172982777052,"female","type_1"
"2772","EPB41","Protein 4.1",-0.317854623043404,0.304592892464512,"female","type_1"
"2773","DST","Dystonin",-0.318066378021287,0.136000976445536,"female","type_1"
"2774","HLCS","Biotin--protein ligase",-0.318981389463087,0.65882094660372,"female","type_1"
"2775","ART3","Ecto-ADP-ribosyltransferase 3",-0.319115314638244,0.183935010827559,"female","type_1"
"2776","EMC10","ER membrane protein complex subunit 10",-0.320967326262899,0.35344145526106,"female","type_1"
"2777","ARSB","Arylsulfatase B",-0.321983901776909,0.311756754143332,"female","type_1"
"2778","DEFA1B","Neutrophil defensin 1",-0.322019685258768,0.251029806000593,"female","type_1"
"2779","CLU","Clusterin",-0.323276817033141,0.205835458323824,"female","type_1"
"2780","PHAX","Phosphorylated adapter RNA export protein",-0.324108469799938,0.0941969806281969,"female","type_1"
"2781","RBFOX1","RNA binding protein fox-1 homolog 1",-0.324296029837692,0.160924901831533,"female","type_1"
"2782","NPTN","Neuroplastin",-0.324781539378098,0.221068415209482,"female","type_1"
"2783","TCERG1","Transcription elongation regulator 1",-0.326332700679735,0.429407571974586,"female","type_1"
"2784","PCNP","PEST proteolytic signal-containing nuclear protein",-0.327232379445979,0.108250514137651,"female","type_1"
"2785","SIGLEC1","Sialoadhesin",-0.327784212976699,0.360732904244625,"female","type_1"
"2786","ARFIP1","Arfaptin-1",-0.328991586199304,0.46212952006725,"female","type_1"
"2787","CNIH4","Protein cornichon homolog 4",-0.329942507156844,0.231196099657018,"female","type_1"
"2788","REXO2","Oligoribonuclease, mitochondrial",-0.330731211261545,0.416222366896728,"female","type_1"
"2789","ALDH16A1","Aldehyde dehydrogenase family 16 member A1",-0.331607813324435,0.322172845190932,"female","type_1"
"2790","RPL18A","60S ribosomal protein L18a",-0.331673530534486,0.205835458323824,"female","type_1"
"2791","RPS24","40S ribosomal protein S24",-0.334319630744547,0.155824055789438,"female","type_1"
"2792","SNRPB","Small nuclear ribonucleoprotein-associated proteins B and B'",-0.336396481588359,0.292726527359862,"female","type_1"
"2793","APOD","Apolipoprotein D",-0.337039525901488,0.454765110550616,"female","type_1"
"2794","SSPN","Sarcospan",-0.340614560322825,0.276808155913556,"female","type_1"
"2795","MPDZ","Multiple PDZ domain protein",-0.341725864651288,0.59112586793635,"female","type_1"
"2796","IRGQ","Immunity-related GTPase family Q protein",-0.344831014512236,0.223575703889579,"female","type_1"
"2797","HBG1","Hemoglobin subunit gamma-1",-0.34517512327073,0.637651617528157,"female","type_1"
"2798","EIF2B3","Translation initiation factor eIF-2B subunit gamma",-0.348711805439583,0.273467027518352,"female","type_1"
"2799","CMA1","Chymase",-0.350664497297,0.390941379225537,"female","type_1"
"2800","NOL6","Nucleolar protein 6",-0.359054803319465,0.279115644196374,"female","type_1"
"2801","H2BC20P","Putative histone H2B type 2-C",-0.359911712850792,0.106194169123502,"female","type_1"
"2802","TINAGL1","Tubulointerstitial nephritis antigen-like",-0.362500224393441,0.0619309869345179,"female","type_1"
"2803","TECR","Very-long-chain enoyl-CoA reductase",-0.364456957624304,0.152757204922157,"female","type_1"
"2804","ABRA","Actin-binding Rho-activating protein",-0.369439415221981,0.386873137323447,"female","type_1"
"2805","HOOK2","Protein Hook homolog 2",-0.371744267309843,0.292726527359862,"female","type_1"
"2806","TDRD7","Tudor domain-containing protein 7",-0.37601075231383,0.491941133000761,"female","type_1"
"2807","RABGAP1","Rab GTPase-activating protein 1",-0.376386435899391,0.469610642591079,"female","type_1"
"2808","NEU3","Sialidase-3",-0.382731782477705,0.538697915115271,"female","type_1"
"2809","MRPL40","39S ribosomal protein L40, mitochondrial",-0.388224653354083,0.304472808118712,"female","type_1"
"2810","COL4A1","Collagen alpha-1(IV) chain",-0.39543349414873,0.292726527359862,"female","type_1"
"2811","PLXND1","Plexin-D1",-0.395781168719679,0.432326133083602,"female","type_1"
"2812","RAB9A","Ras-related protein Rab-9A",-0.396390737125365,0.205835458323824,"female","type_1"
"2813","DMAC1","Distal membrane-arm assembly complex protein 1",-0.396832201646719,0.452098683596415,"female","type_1"
"2814","CA4","Carbonic anhydrase 4",-0.397780257431169,0.205835458323824,"female","type_1"
"2815","LSM3","U6 snRNA-associated Sm-like protein LSm3",-0.39796692480906,0.356760028621751,"female","type_1"
"2816","PPBP","Platelet basic protein",-0.398886943259397,0.372480597902229,"female","type_1"
"2817","PRELP","Prolargin",-0.399949094978112,0.0726022874154567,"female","type_1"
"2818","IGHV3-7","Immunoglobulin heavy variable 3-7",-0.400164318090109,0.526816525649289,"female","type_1"
"2819","MYBPC2","Myosin-binding protein C, fast-type",-0.403834413046253,0.463278765608366,"female","type_1"
"2820","CAMKV","CaM kinase-like vesicle-associated protein",-0.405395448706086,0.5490742273635,"female","type_1"
"2821","MYH6","Myosin-6",-0.414444053534737,0.065490190057132,"female","type_1"
"2822","TIMM17A","Mitochondrial import inner membrane translocase subunit Tim17-A",-0.421146738872284,0.376049781088644,"female","type_1"
"2823","ANKRD1","Ankyrin repeat domain-containing protein 1",-0.42440062089209,0.430442227206016,"female","type_1"
"2824","MYH4","Myosin-4",-0.42886224923306,0.502256364650624,"female","type_1"
"2825","TM9SF2","Transmembrane 9 superfamily member 2",-0.437009407175442,0.198588834585798,"female","type_1"
"2826","AK4","Adenylate kinase 4, mitochondrial",-0.446503778888484,0.309804386995264,"female","type_1"
"2827","H2AC20","Histone H2A type 2-C",-0.448454496952337,0.201500504758495,"female","type_1"
"2828","PEF1","Peflin",-0.448508272933593,0.263399126748215,"female","type_1"
"2829","LTF","Lactotransferrin",-0.452516568307471,0.454827291400219,"female","type_1"
"2830","TBCEL","Tubulin-specific chaperone cofactor E-like protein",-0.45376573688581,0.324032664959964,"female","type_1"
"2831","CFHR1","Complement factor H-related protein 1",-0.455539880920602,0.173583172976651,"female","type_1"
"2832","SLC2A1","Solute carrier family 2, facilitated glucose transporter member 1",-0.456872964807305,0.352186373055731,"female","type_1"
"2833","EIF2B2","Translation initiation factor eIF-2B subunit beta",-0.463784067685989,0.163343411895971,"female","type_1"
"2834","DNAH7","Dynein axonemal heavy chain 7",-0.471619321116917,0.481280449844435,"female","type_1"
"2835","RPL19","60S ribosomal protein L19",-0.471902702812397,0.328449076422455,"female","type_1"
"2836","RPS6KA6","Ribosomal protein S6 kinase alpha-6",-0.473251769808442,0.225206346650145,"female","type_1"
"2837","ROCK1","Rho-associated protein kinase 1",-0.479388823078134,0.130898677665879,"female","type_1"
"2838","TAGLN","Transgelin",-0.482492997919071,0.0977508536664651,"female","type_1"
"2839","ENG","Endoglin",-0.488120479932725,0.446054149008648,"female","type_1"
"2840","PXN","Paxillin",-0.488517107940632,0.228562484409866,"female","type_1"
"2841","PPP1R9B","Neurabin-2",-0.494449194257822,0.134924312212991,"female","type_1"
"2842","YIPF3","Protein YIPF3",-0.500488663200105,0.160924901831533,"female","type_1"
"2843","JCHAIN","Immunoglobulin J chain",-0.502143991486038,0.404984362789769,"female","type_1"
"2844","IGHA1","Immunoglobulin heavy constant alpha 1",-0.502641423520551,0.378433801992164,"female","type_1"
"2845","SIX4","Homeobox protein SIX4",-0.50525147545777,0.146453181347566,"female","type_1"
"2846","KCNC1","Potassium voltage-gated channel subfamily C member 1",-0.508316752173695,0.156011061218681,"female","type_1"
"2847","APOO","MICOS complex subunit MIC26",-0.512801472198948,0.219666283864102,"female","type_1"
"2848","JAGN1","Protein jagunal homolog 1",-0.528970668479252,0.0619309869345179,"female","type_1"
"2849","SIPA1","Signal-induced proliferation-associated protein 1",-0.529357949625728,0.191448895222228,"female","type_1"
"2850","CST3","Cystatin-C",-0.534068407871155,0.0640751877604597,"female","type_1"
"2851","ITGA8","Integrin alpha-8",-0.545630444414211,0.167133714713113,"female","type_1"
"2852","SRP54","Signal recognition particle 54 kDa protein",-0.550055597286661,0.263399126748215,"female","type_1"
"2853","LRG1","Leucine-rich alpha-2-glycoprotein",-0.558852456614972,0.108250514137651,"female","type_1"
"2854","TRIM21","E3 ubiquitin-protein ligase TRIM21",-0.561938234057555,0.352186373055731,"female","type_1"
"2855","RPL32","60S ribosomal protein L32",-0.563943137435958,0.135218604956289,"female","type_1"
"2856","ADH1B","All-trans-retinol dehydrogenase [NAD(+)] ADH1B",-0.573428662323332,0.0608178012915073,"female","type_1"
"2857","SLC35E2B","Solute carrier family 35 member E2B",-0.608543003675491,0.30944614170131,"female","type_1"
"2858","HOMER3","Homer protein homolog 3",-0.613488492156133,0.226088383674441,"female","type_1"
"2859","CPOX","Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",-0.613747364538662,0.288823098512077,"female","type_1"
"2860","GALE","UDP-glucose 4-epimerase",-0.617114846011178,0.137134212945673,"female","type_1"
"2861","LYZ","Lysozyme C",-0.680953871622425,0.315275439628164,"female","type_1"
"2862","LCN1","Lipocalin-1",-0.681547433138135,0.185064097391098,"female","type_1"
"2863","MYH2","Myosin-2",-0.693878649234906,0.334749587343499,"female","type_1"
"2864","MT-ND4","NADH-ubiquinone oxidoreductase chain 4",-0.701527844848084,0.211317001323865,"female","type_1"
"2865","SNCA","Alpha-synuclein",-0.705319043592842,0.0984767494072023,"female","type_1"
"2866","SRCIN1","SRC kinase signaling inhibitor 1",-0.721683914565842,0.206613423972636,"female","type_1"
"2867","PPIC","Peptidyl-prolyl cis-trans isomerase C",-0.733483907001645,0.265181663725436,"female","type_1"
"2868","KTI12","Protein KTI12 homolog",-0.836545573525761,0.138865119579375,"female","type_1"
"2869","IKBKB","Inhibitor of nuclear factor kappa-B kinase subunit beta",-0.951334867478582,0.184938716528958,"female","type_1"
"2870","MYH1","Myosin-1",-1.17309513981106,0.0456317097661817,"female","type_1"
"2871","SAA1","Serum amyloid A-1 protein",-1.19621763528293,0.156011061218681,"female","type_1"
"2872","COL3A1","Collagen alpha-1(III) chain",-1.89604277778072,0.0456317097661817,"female","type_1"
"2873","COBL","Protein cordon-bleu",NA,NA,"female","type_1"
"2874","ATP2B2","Plasma membrane calcium-transporting ATPase 2",NA,NA,"female","type_1"
"2875","SLC22A25","Solute carrier family 22 member 25",NA,NA,"female","type_1"
"2876","MICAL3","[F-actin]-monooxygenase MICAL3",NA,NA,"female","type_1"
"2877","USP48","Ubiquitin carboxyl-terminal hydrolase 48",NA,NA,"female","type_1"
"2878","GTPBP3","tRNA modification GTPase GTPBP3, mitochondrial",NA,NA,"female","type_1"
"2879","PNN","Pinin",NA,NA,"female","type_1"
"2880","ACBD3","Golgi resident protein GCP60",NA,NA,"female","type_1"
"2881","ZNFX1","NFX1-type zinc finger-containing protein 1",NA,NA,"female","type_1"
"2882","NISCH","Nischarin",NA,NA,"female","type_1"
"2883","RBM19","Probable RNA-binding protein 19",NA,NA,"female","type_1"
"2884","UCHL5","Ubiquitin carboxyl-terminal hydrolase isozyme L5",NA,NA,"female","type_1"
"2885","GTPBP3","tRNA modification GTPase GTPBP3, mitochondrial",3.00649974039959,0.286862174851854,"male","type_1"
"2886","MYH7B","Myosin-7B",1.50490126922228,0.558552711703488,"male","type_1"
"2887","THY1","Thy-1 membrane glycoprotein",1.40718607620022,0.00805989386023457,"male","type_1"
"2888","GCC2","GRIP and coiled-coil domain-containing protein 2",1.34799416118997,0.539745262663642,"male","type_1"
"2889","ENG","Endoglin",1.07571133097295,0.384288742134765,"male","type_1"
"2890","UCHL5","Ubiquitin carboxyl-terminal hydrolase isozyme L5",1.02710432234129,0.406587402334919,"male","type_1"
"2891","CALML5","Calmodulin-like protein 5",0.963112565846421,0.239988718025738,"male","type_1"
"2892","S100A13","Protein S100-A13",0.936039343906161,0.0337180081371539,"male","type_1"
"2893","LCN1","Lipocalin-1",0.920640605313217,0.299016883038461,"male","type_1"
"2894","YBX1","Y-box-binding protein 1",0.905497701494475,0.152563206861064,"male","type_1"
"2895","SRP54","Signal recognition particle 54 kDa protein",0.899080415579276,0.238249971425796,"male","type_1"
"2896","IGFN1","Immunoglobulin-like and fibronectin type III domain-containing protein 1",0.852927416354225,0.335544765428907,"male","type_1"
"2897","ADGRE5","Adhesion G protein-coupled receptor E5",0.849222662266707,0.462409332236512,"male","type_1"
"2898","SERPINH1","Serpin H1",0.796431967226574,0.00805989386023457,"male","type_1"
"2899","BGN","Biglycan",0.796385880047408,0.0210266213261114,"male","type_1"
"2900","MYBPC2","Myosin-binding protein C, fast-type",0.720075952679396,0.383830239130164,"male","type_1"
"2901","PECAM1","Platelet endothelial cell adhesion molecule",0.699452219866679,0.180067092717638,"male","type_1"
"2902","IKBKB","Inhibitor of nuclear factor kappa-B kinase subunit beta",0.68982574399255,0.520570724354125,"male","type_1"
"2903","EIF1AY","Eukaryotic translation initiation factor 1A, Y-chromosomal",0.682025821878458,0.480322837410288,"male","type_1"
"2904","RPL19","60S ribosomal protein L19",0.660196310567018,0.260815236640805,"male","type_1"
"2905","MYBPH","Myosin-binding protein H",0.634642002992651,0.327184451040339,"male","type_1"
"2906","CAVIN3","Caveolae-associated protein 3",0.627420981044176,0.409742027693827,"male","type_1"
"2907","MVP","Major vault protein",0.588242280359356,0.152563206861064,"male","type_1"
"2908","DSC1","Desmocollin-1",0.581167711799184,0.472175895504006,"male","type_1"
"2909","KRT71","Keratin, type II cytoskeletal 71",0.57722653452964,0.580199412057438,"male","type_1"
"2910","MYO1B","Unconventional myosin-Ib",0.569200974920424,0.101598198202267,"male","type_1"
"2911","MESD","LRP chaperone MESD",0.559476155324258,0.252518334806825,"male","type_1"
"2912","CHMP4B","Charged multivesicular body protein 4b",0.55335609249763,0.312502280028729,"male","type_1"
"2913","LIPE","Hormone-sensitive lipase",0.551383438370278,0.472175895504006,"male","type_1"
"2914","GON7","EKC/KEOPS complex subunit GON7",0.542578360243471,0.256274567450191,"male","type_1"
"2915","ECM1","Extracellular matrix protein 1",0.538434168646225,0.222491361950664,"male","type_1"
"2916","AKT2","RAC-beta serine/threonine-protein kinase",0.518078161069392,0.269613706888943,"male","type_1"
"2917","DDAH2","N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",0.513820104279482,0.152563206861064,"male","type_1"
"2918","MRPL30","39S ribosomal protein L30, mitochondrial",0.513001184587903,0.180067092717638,"male","type_1"
"2919","DSG1","Desmoglein-1",0.508915827620035,0.580199412057438,"male","type_1"
"2920","PXDN","Peroxidasin homolog",0.505949568254522,0.298743060324911,"male","type_1"
"2921","VIM","Vimentin",0.502565638959567,0.0915294302709072,"male","type_1"
"2922","DYNLT1","Dynein light chain Tctex-type 1",0.497954174760592,0.152563206861064,"male","type_1"
"2923","EGFLAM","Pikachurin",0.487023756707563,0.0944976855945701,"male","type_1"
"2924","APOC3","Apolipoprotein C-III",0.482966372860757,0.302763276274036,"male","type_1"
"2925","FLG2","Filaggrin-2",0.479725899448342,0.656400078818773,"male","type_1"
"2926","FLG","Filaggrin",0.469997609133937,0.585621460883866,"male","type_1"
"2927","LGALSL","Galectin-related protein",0.465755529690608,0.0210266213261114,"male","type_1"
"2928","TNNI2","Troponin I, fast skeletal muscle",0.450137276717523,0.593302587147324,"male","type_1"
"2929","PDK4","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial",0.439887436190221,0.520570724354125,"male","type_1"
"2930","NES","Nestin",0.439151504392674,0.269613706888943,"male","type_1"
"2931","KRT2","Keratin, type II cytoskeletal 2 epidermal",0.435907169132776,0.584691253754692,"male","type_1"
"2932","HYCC1","Hyccin",0.434883126611741,0.176914140998273,"male","type_1"
"2933","RCN3","Reticulocalbin-3",0.433574427270001,0.502145074848375,"male","type_1"
"2934","CHID1","Chitinase domain-containing protein 1",0.43268078672628,0.0546941529265865,"male","type_1"
"2935","LAMA4","Laminin subunit alpha-4",0.429649322389933,0.0194340688961702,"male","type_1"
"2936","POSTN","Periostin",0.428512046403796,0.607196990128617,"male","type_1"
"2937","CARNS1","Carnosine synthase 1",0.421912044863927,0.152563206861064,"male","type_1"
"2938","FBN1","Fibrillin-1",0.419142428600532,0.656400078818773,"male","type_1"
"2939","KRT10","Keratin, type I cytoskeletal 10",0.418351800209098,0.593302587147324,"male","type_1"
"2940","SBSN","Suprabasin",0.414895756359002,0.56224591920141,"male","type_1"
"2941","ARFIP1","Arfaptin-1",0.411811466137683,0.271641219772103,"male","type_1"
"2942","RCSD1","CapZ-interacting protein",0.411239835938085,0.29070809586667,"male","type_1"
"2943","SEPTIN9","Septin-9",0.409949859778482,0.269613706888943,"male","type_1"
"2944","CES2","Cocaine esterase",0.408330850604486,0.252518334806825,"male","type_1"
"2945","MRPL50","39S ribosomal protein L50, mitochondrial",0.406703976665174,0.152563206861064,"male","type_1"
"2946","WASHC2C","WASH complex subunit 2C",0.406363196447433,0.298743060324911,"male","type_1"
"2947","AHCYL1","S-adenosylhomocysteine hydrolase-like protein 1",0.405781047618515,0.152563206861064,"male","type_1"
"2948","VWA1","von Willebrand factor A domain-containing protein 1",0.40235307133349,0.296253969174693,"male","type_1"
"2949","CKAP4","Cytoskeleton-associated protein 4",0.4008486202169,0.222491361950664,"male","type_1"
"2950","COLGALT1","Procollagen galactosyltransferase 1",0.39220415222341,0.286862174851854,"male","type_1"
"2951","TIMM10B","Mitochondrial import inner membrane translocase subunit Tim10 B",0.386974038978758,0.462409332236512,"male","type_1"
"2952","SH3BGRL","Adapter SH3BGRL",0.383648824464974,0.180067092717638,"male","type_1"
"2953","AKAP12","A-kinase anchor protein 12",0.374344196507909,0.595487144507665,"male","type_1"
"2954","PICALM","Phosphatidylinositol-binding clathrin assembly protein",0.369227983732914,0.325520205754222,"male","type_1"
"2955","NEDD4","E3 ubiquitin-protein ligase NEDD4",0.367468381191117,0.258580042676587,"male","type_1"
"2956","MRC2","C-type mannose receptor 2",0.364361177660925,0.468220594290365,"male","type_1"
"2957","MLF2","Myeloid leukemia factor 2",0.364073621015997,0.595487144507665,"male","type_1"
"2958","COL6A2","Collagen alpha-2(VI) chain",0.360352832140048,0.296253969174693,"male","type_1"
"2959","COL6A3","Collagen alpha-3(VI) chain",0.359579718038418,0.286862174851854,"male","type_1"
"2960","EVI5L","EVI5-like protein",0.359375091225441,0.364989267551517,"male","type_1"
"2961","CDV3","Protein CDV3 homolog",0.356848226133899,0.269613706888943,"male","type_1"
"2962","TPD52L1","Tumor protein D53",0.356822102355071,0.152563206861064,"male","type_1"
"2963","PVALB","Parvalbumin alpha",0.356461658544857,0.571891322831485,"male","type_1"
"2964","INTU","Protein inturned",0.35591621974384,0.593302587147324,"male","type_1"
"2965","KRT1","Keratin, type II cytoskeletal 1",0.355658498081695,0.616838698784333,"male","type_1"
"2966","AKAP2","A-kinase anchor protein 2",0.355045972794041,0.499245031493169,"male","type_1"
"2967","MYH2","Myosin-2",0.350433668400132,0.638935062216397,"male","type_1"
"2968","ENAH","Protein enabled homolog",0.3502429978994,0.5123792311292,"male","type_1"
"2969","S100A6","Protein S100-A6",0.349022514033933,0.42861028201777,"male","type_1"
"2970","WASHC2A","WASH complex subunit 2A",0.344516295394993,0.202463072045775,"male","type_1"
"2971","THBS4","Thrombospondin-4",0.341704395609977,0.486378322665245,"male","type_1"
"2972","PPIC","Peptidyl-prolyl cis-trans isomerase C",0.341580021389028,0.397321238087183,"male","type_1"
"2973","COL6A1","Collagen alpha-1(VI) chain",0.341012124537489,0.327184451040339,"male","type_1"
"2974","CLEC3B","Tetranectin",0.340779415265567,0.163706918316446,"male","type_1"
"2975","SLC25A5","ADP/ATP translocase 2",0.340139653511482,0.54343139485877,"male","type_1"
"2976","SKIC2","SKI2 subunit of superkiller complex protein",0.338999028373442,0.629550792119351,"male","type_1"
"2977","RPS8","40S ribosomal protein S8",0.338709553884573,0.25297219046439,"male","type_1"
"2978","CTF1","Cardiotrophin-1",0.335307883941653,0.423625739637004,"male","type_1"
"2979","SEPTIN7","Septin-7",0.334766779032497,0.287723129657136,"male","type_1"
"2980","MRPL19","39S ribosomal protein L19, mitochondrial",0.334684913290827,0.18035679582403,"male","type_1"
"2981","KRT9","Keratin, type I cytoskeletal 9",0.334294567738432,0.638935062216397,"male","type_1"
"2982","RHOC","Rho-related GTP-binding protein RhoC",0.333992470853536,0.152563206861064,"male","type_1"
"2983","DYNC1LI2","Cytoplasmic dynein 1 light intermediate chain 2",0.330672100204874,0.271641219772103,"male","type_1"
"2984","ALDH1B1","Aldehyde dehydrogenase X, mitochondrial",0.328288097662266,0.359473243417214,"male","type_1"
"2985","AP1M1","AP-1 complex subunit mu-1",0.327686839651015,0.323111181777226,"male","type_1"
"2986","CSTA","Cystatin-A",0.326977031493394,0.591995878102104,"male","type_1"
"2987","MMAA","Methylmalonic aciduria type A protein, mitochondrial",0.324351640970436,0.437614336501136,"male","type_1"
"2988","NAMPT","Nicotinamide phosphoribosyltransferase",0.32238038202861,0.0929060997279992,"male","type_1"
"2989","ATP6V1D","V-type proton ATPase subunit D",0.322380321336118,0.593793970466589,"male","type_1"
"2990","CLPP","ATP-dependent Clp protease proteolytic subunit, mitochondrial",0.319571348877583,0.191607250690984,"male","type_1"
"2991","LSMEM1","Leucine-rich single-pass membrane protein 1",0.319335006128545,0.462106227524228,"male","type_1"
"2992","RPL32","60S ribosomal protein L32",0.318829544077937,0.562875386293343,"male","type_1"
"2993","COBL","Protein cordon-bleu",0.315775887055167,0.619849697619034,"male","type_1"
"2994","TUBB4A","Tubulin beta-4A chain",0.312813765238049,0.327184451040339,"male","type_1"
"2995","UCHL1","Ubiquitin carboxyl-terminal hydrolase isozyme L1",0.312730637269169,0.480322837410288,"male","type_1"
"2996","SUB1","Activated RNA polymerase II transcriptional coactivator p15",0.312115121801604,0.152563206861064,"male","type_1"
"2997","CRIP1","Cysteine-rich protein 1",0.311729110498682,0.423462139982872,"male","type_1"
"2998","CLIC4","Chloride intracellular channel protein 4",0.310485887593641,0.286862174851854,"male","type_1"
"2999","TBCEL","Tubulin-specific chaperone cofactor E-like protein",0.309147311351905,0.5925151431691,"male","type_1"
"3000","AIP","AH receptor-interacting protein",0.308733696542602,0.539745262663642,"male","type_1"
"3001","DNAH7","Dynein axonemal heavy chain 7",0.30705857155054,0.723785872779986,"male","type_1"
"3002","CRIP2","Cysteine-rich protein 2",0.307008055209993,0.238249971425796,"male","type_1"
"3003","VAMP5","Vesicle-associated membrane protein 5",0.304051491433485,0.252518334806825,"male","type_1"
"3004","MMRN2","Multimerin-2",0.30371128099061,0.29070809586667,"male","type_1"
"3005","RETREG1","Reticulophagy regulator 1",0.301803659893062,0.296253969174693,"male","type_1"
"3006","UBE2V1","Ubiquitin-conjugating enzyme E2 variant 1",0.301084730921993,0.520570724354125,"male","type_1"
"3007","HSPB6","Heat shock protein beta-6",0.300847352165185,0.0713374688164675,"male","type_1"
"3008","ENDOG","Endonuclease G, mitochondrial",0.300786090055407,0.252518334806825,"male","type_1"
"3009","AGK","Acylglycerol kinase, mitochondrial",0.300634891685034,0.163706918316446,"male","type_1"
"3010","CTSG","Cathepsin G",0.299797116399587,0.558759412024009,"male","type_1"
"3011","RBP1","Retinol-binding protein 1",0.299243551126356,0.238249971425796,"male","type_1"
"3012","ANXA1","Annexin A1",0.297860500445642,0.392543496801956,"male","type_1"
"3013","PTRH2","Peptidyl-tRNA hydrolase 2, mitochondrial",0.297777115210065,0.269399115409875,"male","type_1"
"3014","FKBP2","Peptidyl-prolyl cis-trans isomerase FKBP2",0.296660238049734,0.152563206861064,"male","type_1"
"3015","MRPS25","28S ribosomal protein S25, mitochondrial",0.296529046358385,0.195585251728453,"male","type_1"
"3016","RHOT1","Mitochondrial Rho GTPase 1",0.295632525687125,0.152563206861064,"male","type_1"
"3017","COL1A1","Collagen alpha-1(I) chain",0.294178273673221,0.667544654728355,"male","type_1"
"3018","POTEKP","Putative beta-actin-like protein 3",0.293595311507913,0.529452929049416,"male","type_1"
"3019","VAT1","Synaptic vesicle membrane protein VAT-1 homolog",0.290981798681459,0.269613706888943,"male","type_1"
"3020","TPSB2","Tryptase beta-2",0.290924097587787,0.585621460883866,"male","type_1"
"3021","CNIH4","Protein cornichon homolog 4",0.287911459476462,0.565336014071717,"male","type_1"
"3022","PRKAA1","5'-AMP-activated protein kinase catalytic subunit alpha-1",0.28642232272256,0.252518334806825,"male","type_1"
"3023","SYNC","Syncoilin",0.286101256991241,0.103549289410191,"male","type_1"
"3024","TGFBI","Transforming growth factor-beta-induced protein ig-h3",0.286098657783285,0.195585251728453,"male","type_1"
"3025","API5","Apoptosis inhibitor 5",0.285178522468717,0.490847063814215,"male","type_1"
"3026","SRPRB","Signal recognition particle receptor subunit beta",0.283034356047871,0.286862174851854,"male","type_1"
